cleaned_text	lemm_text
Что...? Есть!	что есть
Я просто гений!	я просто гений
О, нет...!	о нет
Кто ни будь, помогите, ну пожалуйста...!	кто быть помочь пожалуйста
О, БОГИНЯ!	о богиня
О, БОГИНЯ!	о богиня
 Koi ni naranai ne	koi ni naranai ne
Soba ni iru dake ja	soba ni iru dake ja
Nazo o kakete mo	nazo o kakete mo
Dounka-una hito dakara	dounkauna hito dakara
Natsu no fuku o kite	natsu no fuku o kite
Haru no umi ni kita	haru no umi ni kita
Anata no shatsu de	anata no shatsu de
Yasashiku kabaate	yasashiku kabaate
My Heart iidasenai	my heart iidasenai
Please KISS' su-u shite-te-e	please kiss suu shitetee
Day Dream yume wa fukurami	day dream yume wa fukurami
Sora ni... Takaku... Kieru...	sora ni takaku kieru
Onina no ko wa dare daate	onina no ko wa dare daate
Shi a wase ni naaa reru	shi a wase ni naaa reru
Hoi ga hajimareva	hoi ga hajimareva
Kagayaki-dasu	kagayakidasu
Tatoe namida nagashite mo	tatoe namida nagashite mo
Anata no sei nara	anata no sei nara
Mune o itamete mo	mune o itamete mo
Kansa-shi-ku-na-nu!	kansashikunanu
И что они хотят чтобы я сделал с этим, один?	и хотеть сделать это один
Морисато, прими наши поздравления!	морисато принять наш поздравление
Ну что ж, пилотом для ежегодного соревнования...	ну ж пилот ежегодный соревнование
...в гонках на драгах выбран Морисато Кейичи.	в гонка драга выбрать морисато кейй
Чёрт, снова я?	чёрт снова я
Не волнуйся, мы сделаем тебе прекрасную машину.	не волноваться сделать ты прекрасный машина
Но в конце концов на меня свалили всю работу.	но конец конец свалить работа
Это не машина, а куча запчастей.	это машина куча запчасть
Похоже, тебе нравится такая жизнь.	похоже ты нравиться такой жизнь
Да, я думаю, какой у него будет вкус, когда будет готово.	да думать вкус готовый
Дай я попробую.	дать попробовать
Хорошо, думаю, ты сможешь помочь.	хорошо думать смочь помочь
Пожалуйста продолжай мешать, пока оно не станет слегка упругим.	пожалуйста продолжать мешать пока оно стать слегка упругий
А я пока сделаю крем.	а пока сделать крем
Каким получится пирожное?	какой получиться пирожное
Одна ложка, вторая ложка, для сладкого вкуса.	один ложка два ложка сладкое вкус
Вкус твоей любви и моей любви.	вкус твой любовь мой любовь
Тебе нравится эта ерунда?	ты нравиться этот ерунда
Да, мне нравится готовить. К тому же, если это делает счастливым Кейичи..	да нравиться готовить к тот же это делать счастливый кейй
Такие вещи можно делать с помощью нашей силы!	такой вещий делать помощь наш сила
Такие простые задачи мне не подходят. Я оставлю остальное тебе.	такой простой задача подходить я оставить остальной ты
Какая скукота...	какой скукота
Какого чёрта? Подвеска двигателя перекошена на 2 миллиметра...	какой чёрт подвеска двигатель перекосить 2 миллиметр
Придется сваривать её заново.	прийтись сваривать её заново
Тебе помочь?	ты помочь
Всё нормально. Здесь ты мне ничем не поможешь, Урд.	весь нормальный здесь ничто помочь урд
Не недооценивай меня. Такие вещи - пустяк, для такой, как я...	не недооценивать я такой вещий пустяк такой я
