cleaned_text	lemm_text
Кейичи!	кейй
Кейичи...	кейй
Я был счастлив, но потом...	я счастливый потом
Мне кажется, будто мы... друзья с детства.	я кажется мы друг детство
Друзья детства?	друг детство
Это обещание.	это обещание
Ты должен держать обещание.	ты должный держать обещание
Несмотря ни на что...	несмотря что
Подарок?	подарок
Оно будет хорошо на ней выглядеть.	оно выглядеть
Кольцо?	кольцо
Ты хочешь кольцо?	ты хотеть кольцо
Да, в тот раз...	да раз
Я не хочу, чтобы ты страдала, поэтому...	я хотеть страдать поэтому
Я...	я
Я...	я
Его память возвращается!	он память возвращаться
Пожалуйста... Пусть это произойдёт вовремя!	пожалуйста пусть это произойти вовремя
Ещё не слишком поздно...	ещё слишком поздно
Я отдам его тебе завтра.	я отдать ты завтра
Пожалуйста, жди меня.	пожалуйста ждать я
Я точно отдам его тебе!	я точно отдать ты
Готово...	готовый
Отлично...	отлично
Теперь нам только осталось составить магическую формацию.	теперь мы остаться составить магический формация
Интересно, узнает ли Беллданди об этом?	интересно узнать беллданди это
Это неважно.	это неважно
Понимаешь?	понимать
Мы делаем это ради счастья Беллданди!	мы делать это ради счастие беллданди
Правильно... Это для сестры...	правильно это сестра
Теперь-то ты наконец поняла?	теперьто понять
Ну и... Мне будет скучно тут одной, если вы вернётесь на Небо.	ну и я скучно один вернуться небо
Что?! Теперь картина проясняется!	что теперь картина проясняться
Ты просто не хочешь оставаться здесь одна, и меня еще втягиваешь!	ты просто хотеть оставаться один втягивать
Я же сказала тебе, что это ради Беллданди!	я сказать ты это ради беллданди
Я понимаю.	я понимать
Давай создавать магическую формацию.	давать создавать магический формация
Приди и соединись.	прийти соединиться
Всё с великой силой внутри тебя...	весь великий силой внутри ты
Ради твоей изначальной формы...	ради твой изначальный форма
Стань светом в твоём основании.	стать свет твой основание
Основание заложено.	основание заложить
Хорошо, переходим к программе стабилизации грунта.	хорошо переходить программа стабилизация грунт
Фестиваль в университете...	фестиваль университет
Кейичи забыл тогда свой бумажник...	кейй забыть свой бумажник
Но друзья дали ему больше, чем он смог удержать...	но друг дать большой смочь удержать
И всё случилось на следующий день... Мы только начали...	и весь случиться следующий день мы начать
9 месяцев... Лишь 9 месяцев вместе,	9 месяц лишь 9 месяц вместе
но я не могу забрать с собой память о них...	мочь забрать себя память они
Мы встретились - в конце концов...	мы встретиться конец конец
Хорошо. Сейчас еще одна работа.	хорошо сейчас один работа
Жди меня.	ждать я
Я вернусь вовремя, чтобы отдать его тебе.	я вернуться вовремя отдать ты
Боже, пожалуйста, прости мне хотя бы это...	бог пожалуйста простить хотя это
Даже после того, как я исчезну из жизни Кейичи, пусть останется хоть это...	даже тот исчезнуть жизнь кейй пусть остаться это
Осталось 20 минут.	остаться 20 минута
Извините, вы не могли бы мне открыть?	извинить мочь открыть
Простите, но мы открываемся в десять.	простить открываться десять
Сэр!	сэр
Отлично, оно еще здесь!	отлично оно здесь
Извините, я хочу купить вот это кольцо, за 58,000 йен.	извинить хотеть купить это кольцо 58000 йена
Вы торопитесь?	вы торопиться
Да, у меня мало времени.	да мало время
Ах да, сегодня ведь Канун Рождества.	ах да сегодня канун рождество
Хорошо.	хорошо
Одну минутку, пожалуйста.	один минутка пожалуйста
Вот это, да?	вот это да
59,740 йен, включая налог...	59740 йена включая налог
Извините, но ваша сдача!	извинить ваш сдача
Урд! Скулд!	урд скулд
Что вы делаете?	что делать
Это же Наивысшая Магическая Формация!	это высокий магический формация
Что вы собираетесь сделать с её помощью?!	что собираться сделать её помощь
Это для тебя и Кейичи.	это кейй
Если мы сломаем печать с помощью формации, мы решим твою проблему.	если сломать печать помощь формация решить твой проблема
Нет! Нет, вы не сможете.	нет нет смочь
Если Владыка узнает, вы будете наказаны!	если владыка узнать быть наказать
Если я вернусь одна, это решит проблему.	если вернуться один это решить проблема
Это - моя вина.	это вино
Беллданди!	беллданди
Отлично!	отлично
Я думал, я тебя больше не увижу!	я думать увидеть
Кейичи!	кейй
Беллданди!	беллданди
Постой... Я ещё...	постоять я ещё
Кейичи!	кейй
Беллданди!	беллданди
Беллданди!	беллданди
Не надо.	не надо
У меня есть то, что я должен тебе отдать!	у то должный ты отдать
Я обещал...	я обещать
Кейичи, ты...?	кейй ты
Я не забыл.	я забыть
Я вспомнил...	я вспомнить
Теперь я могу отдать его тебе и выполнить моё обещание.	теперь мочь отдать ты выполнить мой обещание
Я тоже не забыла.	я забыть
Я обещала себя тебе дважды.	я обещать ты дважды
Ты пыталась сдержать свое слово, поэтому я должен сдержать своё!	ты пытаться сдержать свой слово поэтому должный сдержать свой
Кейичи...	кейй
Кейичи!	кейй
Подожди!	подождать
Беллданди!	беллданди
Боже, пожалуйста, позволь мне остаться с Кейичи!	бог пожалуйста позволить остаться кейй
Я не хочу быть богиней!	я хотеть богиня
Мне безразлично, если я больше никогда не смогу вернуться на Небо!	я безразличный смочь вернуться небо
Пожалуйста!	пожалуйста
Готово!	готовый
Урд!	урд
Хорошо, я начинаю!	хорошо начинать
Гори, как огонь,	гореть огонь
Дуй, как ветер,	дуть ветер
Теки, как вода,	тека вод
Впитывай, как земля.	впитывать земля
Во имя настоящего, прошлого и будущего...	в имя настоящий прошлое будущее
Пробудись, Наивысшая Магическая Формация!	пробудиться высокий магический формация
Беллданди!	беллданди
Врата исчезли.	врата исчезнуть
Скулд, очнись!	скулд очнуться
Мороженое...	мороженое
Кейичи!	кейй
Кейичи!	кейй
Нет!	нет
Кейичи! Кейичи! Почему это произошло?!	кейй кейй почему это произойти
Кейичи!	кейй
Не может быть...	не быть
Он умер?	он умереть
Нет, не умер.	нет умереть
Но его душа отступила глубоко внутрь и он не совсем жив.	но душить отступить глубоко внутрь живой
Я войду в его сознание и верну его обратно.	я войти сознание вернуть обратно
Нет, это слишком опасно!	нет это слишком опасный
Если он среагирует на внешнее раздражение ты будешь...	если среагировать внешний раздражение быть
Иди, Беллданди!	идти беллданди
Ты должна идти.	ты должный идти
Ты бы всё равно пошла, даже если бы мы попытались остановить тебя.	ты весь равно пошлый попытаться остановить ты
Сестра...	сестра
Да.	да
Да, там был свет...	да свет
Тёплый, мягкий свет.	тёплый мягкий свет
Она стояла в центре этого света.	она стоялый центр свет
Она сказала, что её имя - Беллданди.	она сказать её имя беллданди
Странно...	странно
Люди не должны видеть этот свет.	человек должный видеть свет
Наверное, ты хороший друг природы.	наверное хороший друг природа
Мне не было страшно во время этой загадочной встречи.	я страшно время загадочный встреча
Потому что она была естественной, как ветер.	потому естественный ветер
Это была одна неделя лета...	это один неделя лето
...которая была долгой, как год, и короткой, как день.	который долгий год короткий день
Давай встретимся на том же месте завтра?	давать встретиться место завтра
Я хотел бы дать тебе кое-что.	я хотеть дать ты коечто
Обещаешь?	обещать
Да!	да
Но мне не стоило давать это обещание.	но стоить давать это обещание
Обещание, которое Владыка запретил давать.	обещание который владыка запретить давать
Для богини даже шуточное обещание имеет силу контракта...	для богиня шуточный обещание иметь сила контракт
...и для меня, не завершившей обучение, это было серьёзным нарушением правил.	и я завершить обучение это серьёзный нарушение правило
Если бы я знал об этом, я не брал бы с тебя слова.	если знать это брать слово
В наказание... мне приказали стереть...	в наказание приказать стереть
твои воспоминания обо мне - моей же рукой.	твой воспоминание о мой рука
Я знал, что если бы ты не стёрла их...	я знать стереть они
...он бы наказал тебя за нарушение правил.	он наказать нарушение правило
Поэтому я попросил тебя...	поэтому попросить ты
Поэтому ты попросил меня...	поэтому попросить я
Стереть мои воспоминания. Стереть твои воспоминания.	стереть мой воспоминание стереть твой воспоминание
Я вспомню, если я увижу тебя еще раз.	я вспомнить увидеть раз
Ты обещал, но я не могла.	ты обещать мочь
Но я очень, очень надеялась, что когда закончу обучение...	но очень очень надеяться закончить обучение
...то увижу тебя снова, и тогда - смогу выполнить свое обещание!	то увидеть снова смочь выполнить свой обещание
И ты вспомнил... Как и обещал...	и вспомнить как обещать
Это воспоминание будет стёрто и ты никогда не вспомнишь его...	это воспоминание стёртый вспомнить он
Но я здесь, и оно не исчезнет, данное мной обещание.	но здесь оно исчезнуть данный я обещание
Кейичи...	кейй
Разве тебя не отправили обратно на Небо?	разве отправить обратно небо
Врата исчезли...	врата исчезнуть
..но они скоро появятся снова.	но скоро появиться снова
Это от Него!	это он
"""Богине 1 класса, 2 категории, неограниченная лицензия, Беллданди:"	богиня 1 класс 2 категория неограниченный лицензия беллданди
Так как запечатанная энергия исчезла...	так запечатать энергия исчезнуть
"...твой отзыв на Небо отменен."""	твой отзыв небо отменный
Беллданди!	беллданди
Подождите, это не всё.	подождать это весь
"""Богине 2 класса, ограниченная лицензия, Урд:"	богиня 2 класс ограниченный лицензия урд
"За использование ""Наивысшей Магической Формации"" без разрешения..."	за использование высокий магический формация разрешение
"...тридцатидневное отстранение лицензии."""	тридцатидневный отстранение лицензия
"""Богине 2 класса, Скулд:"	богиня 2 класс скулд
Пока ты не изловишь всех сбежавших багов, твоё обучение...	пока изловить сбежать баг твой обучение
