cleaned_text	lemm_text
Спокойной ночи, Саша.	спокойный ночь саша
Спокойной ночи, Никита.	спокойный ночь никита
Я ее люблю, тетя Маша, а она любит меня.	я любить тётя маша любить я
Ну не волнуйтесь вы так, я же все понимаю!	ну волноваться так понимать
Вы хотите, чтобы Настя получила хорошее образование, профессию,	вы хотеть настя получить хороший образование профессия
чтоб не родила в семнадцать лет и сломала себе жизнь.	родить семнадцать год сломать жизнь
Так я того же самого хочу, понимаете?	так самый хотеть понимать
Я хочу, чтобы Настя была счастлива.	я хотеть настя счастливый
Да я все сделаю, чтобы Настя была счастлива!	да сделать настя счастливый
Это невозможно, Паш.	это невозможно паша
Почему?	почему
Спроси у своего отца.	спросить свой отец
Он тебе все объяснит.	он ты объяснить
Доктор рассказывал ему об одной болезни, он сейчас же выставил свой больной палец	доктор рассказывать один болезнь выставить свой больной палец
из-под простыни и стал его рассматривать.	изпод простыня стать рассматривать
У него не было ни малейшего представления о том, каковы признаки этой болезни,	у маленький представление тот каков признак болезнь
однако попробовать все-таки стоило.	однако попробовать всетаки стоить
И он принялся усердно стонать...	и приняться усердно стонать
Я сейчас, немножко осталось.	я сейчас немножко остаться
Мам!	мама
Мам! Горло болит.	мама горло болеть
Рот открой.	рота открыть
Ну что? Давай посмотрю.	ну что давать посмотреть
Давай к свету.	давать света
''А'' скажи...	а сказать
Ааа...	ааа
Ну вот. Горло не красное.	ну вот горло красный
Темно, тебе ничего не видно, а горло болит.	темно ты видно горло болеть
Щас я тебе лекарство принесу чаю с малиной.	щас ты лекарство принести чай малина
Все как рукой снимет.	весь рука снять
Савелий, иди спать!	савелий идти спать
Спасибо, мам.	спасибо мама
Дорогие товарищи! Мы все от души поздравляем	дорогой товарищ мы душа поздравлять
героя социалистического труда Антона Михайловича Барыкина	герой социалистический труд антон михайло барыкин
и его бригаду с очередным рекордом	бригада очередной рекорд
и досрочным выполнением пятилетки в три года!	досрочный выполнение пятилетка год
Ура, товарищи!	ура товарищ
Урааа!!!	урааа
Я хочу сообщить еще одну радостную новость:	я хотеть сообщить один радостный новость
райком партии и дирекция шахты приставили Антона Михайловича Барыкина	райком партия дирекция шахта приставить антон михайло барыкин
к награде ко второму ордену Ленина	награда к второе орден ленин
и очередному званию героя социалистического труда!	очередной звание герой социалистический труд
Ура, товарищи!	ура товарищ
Поздравляю!	поздравлять
Вот! Так держать!	вот так держать
Спасибо!Спасибо.	спасибоспасибо
Молодцы!	молодец
Федор! Молодчина!	фёдор молодчина
Федор...	фёдор
Громов, не крутись.	громов крутиться
Контрольная прошла хорошо в целом, вы все молодцы.	контрольный пройти целое молодец
Ну как?	ну как
Давай! Все как и договаривались.	давать весь договариваться
Так, я проставлю в журнал оценки, а вы мне диктуйте.	так проставить журнал оценка диктовать
Жидко Наташа?	жидко наташа
Четыре.	четыре
Кирко Игнат?	кирко игнат
Три.	три
Плохо, Игнат!	плохо игнат
Кремнева Ирина?	кремнёвый ирина
Пять.	пять
Котов Леонид?	котов леонид
Пять.	пять
Сколько-сколько?	сколькосколько
А че? С плюсом!	а че с плюс
А ну-ка иди-сюда, неси тетрадь.	а нук идисюда нести тетрадь
И правда пять с плюсом.	и правда пять плюс
Ну что ж я врать буду?	ну врать быть
А мама-то как обрадуется...	а мамато обрадоваться
