cleaned_text	lemm_text
СУБТИТРЫ: Е.МАСЛЕННИКОВА, О.СУСЛИНА, Е.ДОБРОВИЦКАЯ, Л.НЕСТЕРЕНКО	субтитр емасленников осуслина едобровицкий лнестеренко
ЛИРИЧЕСКАЯ МУЗЫКА	лирический музыка
-Вы почему здесь работаете?! Почему здесь, если там подъездная группа	вы почему работать почему здесь подъездный группа
не убрана? Вредители! Ну-ка, быстро туда! Что ты смотришь на меня?	убрать вредитель нук быстро туда что смотреть я
Сейчас проверка нагрянет - с меня три шкуры снимут! Русский язык	сейчас проверка нагрянуть шкура снять русский язык
понимаешь?! Вот где нужно работать! Понятно?! Значит, так: Мавлюду	понимать вот нужно работать понятно значит так мавлюда
на участок, а Федю - на крышу. -Лариса-апа, клянусь мамой,	участок федя крыша ларисаап клясться мама
мне нельзя на высоту! Я боюсь высоты! -Меня твои фобии не интересуют,	высота я бояться высота я твой фобия интересовать
понятно? -Лариса Анатольевна, Воронов.	понятно лариса анатолий воронов
-Быстро на крышу, иначе уволю, понятно? Ростик, дай ему страховку.	быстро крыша иначе уволить понятно ростик дать страховка
-Товарищ инженер, мне нельзя на высоту, понимаешь?	товарищ инженер высота понимать
Я очень боюсь высоты!	я очень бояться высота
-Это что? Почему снег у подъезда? Чтобы вот этого	это что почему снег подъезд чтобы
безобразия не было! -Александр Максимович...	безобразие быть александр максим
-Не надо оправдываться! Я только что был в 47-й школе. Ваша территория?	не оправдываться я 47й школа ваш территория
-Да. -К школе не подойти.	да к школа подойти
Вы обязаны предоставить населению все услуги ЖКХ. Безобразие! Дороги	вы обязать предоставить население услуга жкх безобразие дорога
не чищены, под снегом - лед! -Осторожней.	чищеный снег лёд осторожный
-Они платят налоги для того, чтобы вы работали, а не лапшу на уши вешали!	они платить налог тот работать лапша ухо вешать
И поймите одну очень простую вещь. Не они для нас, а мы для них.	и понять один очень простой вещь не мы они
-Александр Максимович, мы стараемся...	александр максим стараться
-Товарищи, я лично прошу прощения за директора, начальника вашего ДЭЗа.	товарищ лично просить прощение директор начальник ваш дэз
-Завтра опять снега наметет. Тебе одному работать. Справишься?	завтра снег намести ты один работать справиться
-Справлюсь.	справиться
-Держись!	держаться
Давай... Руку.	давать рука
-Как можно так снег бросать? Да что ж такое?! Безобразие! Ограждения нет!	как снег бросать да такой безобразие ограждение нет
Люди же здесь ходят! Володя, слава богу, вы живы. Надо жалобу писать.	человек ходить володя слава бог живой надо жалоба писать
Пишите жалобу в ДЭЗ, я буду свидетелем, я все подпишу.	писать жалоба дэз быть свидетель подписать
А то мы так все погибнем. -Будем считать, что я в рубашке	а погибнуть быть считать рубашка
родился. -Да. Я сейчас	родиться да я
сфотографирую все и пошлю в мэрию. Все пошлю на портал.	сфотографировать послать мэрия весь послать портал
ХОРОМ: Дед Мороз! Дед Мороз!	хором дед мороз дед мороз
Дед Мороз! Дед Мороз!	дед мороз дед мороз
Дед Мороз! -Громче!	дед мороз громкий
-Полинку на каникулах ко мне отпустишь?	полинку каникулы к отпустить
-Нет, она в Англию поедет. Будет в семье фермеров жить.	нет англия поехать быть семья фермер жить
-А по цене - как у королевы-матери. -Зачем ты эту тему педалируешь?	а цена королевыматерь зачем тема педалировать
Володя, не волнуйся, Гена все оплатил.	володя волноваться ген оплатить
-Дорогие ребята, у меня для вас две новости: хорошая и плохая.	дорогой ребята два новость хороший плохой
Плохая: Дедушка где-то потерялся в пути. Но на наш с вами праздник	плохой дедушка гдеть потеряться путь но наш вы праздник
приехал очень уважаемый гость. Это выпускник нашей с вами школы,	приехать очень уважаемый гость это выпускник наш вы школа
наша с вами гордость - глава управы Александр Максимович Воронов!	наш вы гордость глава управа александр максим воронов
Встречайте!	встречать
-Спасибо.	спасибо
Уважаемые ученики и уважаемые учителя,	уважаемый ученик уважаемый учитель
с наступающим вас Новым годом!	наступать новый год
ЗВОНИТ ТЕЛЕФОН Четверть закончена...	звонить телефон четверть закончить
-Да? Алло.	да алло
-Спрячь телефон быстро. -Наша управа много сделала...	спрячь телефон быстро наш управа сделать
-Сядь сюда. -Ты хотела, чтобы я	сесть сюда ты хотеть
заказал пиццу на всю школу. Я заказываю.	заказать пицца школа я заказывать
-Сядь сюда! -Я сейчас не могу разговаривать.	сесть сюда я мочь разговаривать
Я сейчас занят. Извините. -...Где вы можете взять в прокат	я занятый извинить где мочь взять прокат
спортивный инвентарь. -Ты где находишься?!	спортивный инвентарь ты находиться
