cleaned_text	lemm_text
СУБТИТРЫ: О.СУСЛИНА, А.ПРЯХА, А.КНЯЗЕВА, А.СОЛОНИЦКИЙ	субтитр осуслина апряха акнязев асолоницкий
-Ой...	ой
Чего? Ну чего он мне пишет?	что ну писать
"-На ""русский"" нажмите. -А?"	на русский нажать а
"-""Русский"". -""Русский""?"	русский русский
-ПИН-код теперь введите. ПИН-код помните?	пинкод ввести пинкод помнить
-Что? -Четыре цифры.	что четыре цифра
-Да, да. Значит так...	да да значит так
Кончилась война... И муж погиб 12 лет назад!	кончиться война и муж погибнуть 12 год назад
 -Ага...	ага
И чего? -Доллары, евро, рубли, что вы берете?	и что доллар евро рубль берет
-Да ну тебя! Рубли.	да ты рубль
Спасибо тебе. Я каждый раз как пенсию получаю, так потею вся страшно.	спасибо ты я каждый пенсия получать потеть весь страшно
-Я тоже потею страшно. Это не пенсия - это слезы.	я потеть страшно это пенсия это слеза
-Ой, такой молодой - и на пенсии! Воевал, поди?	ой молодая пенсия воевать поди
-Поди. -А, сердешненький...	поди а сердешненький
Слухай, соколик! Тут китайцы с машины картошкой торгуют	слухать соколик тут китаец машина картошка торговать
из Рязани, синеглазкой, не подсобишь мне мешочек до дому дотащить?	рязань синеглазка подсобить мешочек дом дотащить
-Далеко? -Да куды! Здесь близко!	далеко да куда здесь близко
-Ну, давайте. -Пошли.	ну давать послать
-Так, с первым этажом разобрались, плывем дальше.	так один этаж разобраться плыть далёкий
Туалет и гардеробная тоже на тебе. Слышишь?	туалет гардеробный ты слышать
-Слышу. -Ты хоть кивай,	слышать ты кивать
по тебе не догадаешься. Так...	ты догадаться так
ГРОМКАЯ МУЗЫКА ИЗ КОМНАТЫ	громкий музыка из комната
Вот... комната Тани.	вот комната таня
Дочери Виктора Мартыновича.	дочь виктор мартын
А там студия, она там со своим другом репетирует.	а студия свой друг репетировать
Спецом в это время.	спец это время
Эй! Поднимайся.	эй подниматься
Таня! Танечка, ты же знала, что уборка!	таня танечка знать уборка
Может, хватит?	мочь хватить
Я что-то невнятно сказала?	я чтоть невнятно сказать
У меня от твоей музыки уже голова деревянная.	у твой музыка голова деревянный
-Она у тебя и без музыки деревянная. -Хорошо - твой отец не слышит.	она музыка деревянный хорошо твой отец слышать
-У нас репетиция, в курсе?	у репетиция курс
-Это Мавлюда, наша новая домработница.	это мавлюда наш новый домработница
Будет за тобой грязь выметать, раз ты сама не можешь.	быть ты грязь выметать сам мочь
-А за тобой типа не будет. Пошли, Димон, валим отсюда.	а ты тип быть послать димона валим отсюда
-Таня! Когда будешь? Что отцу сказать?	таня когда быть что отец сказать
-Какая тебе разница? Скажешь, что я в клубе.	какой ты разница сказать клуб
-Говорила мне мама: не связывайся с разведенкой с ребенком!	говорить мама связываться разведёнка ребёнок
А ты что стоишь? Начинай! Время пошло. Чтобы пыли не было здесь,	а стоять начинать время пошло чтобы пыль здесь
я проверю!	проверить
-Далеко еще, бабуль? -Всё, всё, всё!	далеко ещё бабуля весь весь весь
Клади. Сейчас внучок спустится и на этаж поднимет.	класть сейчас внучок спуститься этаж поднять
-Всё, я пошел.	весь пойти
-Спасибо тебе. -Да не надо, я вам просто так помог.	спасибо ты да надо просто помочь
-Да бери! Мне внуки хоть помогают. -Бабуль, вы свой ПИН-код направо	да брать я внук помогать бабуля свой пинкод направо
и налево не говорите. -Какой ПИН-код?	налево говорить какой пинкод
-Да никакой! Дома сидите.	да никакой дом сидеть
-Борис, я же мать, неужели я не могу поговорить с дочерью?	борис мать неужели мочь поговорить дочь
-Лариса Петровна, я не имею права вас сюда пускать по решению суда.	лариса пётр иметь право сюда пускать решение суд
-Какого суда, Борис? Вы же сами знаете какого. Я третий день ей	какой суд борис вы сам знаете какой я три день
звоню - она не отвечает. Я только поговорю с ней и уйду, только увижу	звонить отвечать я поговорить уйти увидеть
