cleaned_text	lemm_text
Беллданди...	беллданди
Да, в чем дело?	да дело
Это тебе!	это ты
Спасибо, Кейичи.	спасибо кейй
Тебе очень идет.	ты очень идти
Я никогда этого не забуду.	я забыть
Я не забуду тебя, даже если ты забудешь меня.	я забыть ты забыть я
Почему ты так говоришь?	почему говорить
Мне очень жаль, но мы не должны встречаться.	я очень жаль должный встречаться
Судьба запрещает мне находиться в этом Мире. Я дожна слушаться ее.	судьба запрещать находиться мир я дожна слушаться она
Как же так?! Ты же обещала мне,	как так ты обещать я
что будешь всегда со мной! Неужели это была ложь?	быть я неужели это ложь
Ты нужна мне!	ты нужный я
О, БОГИНЯ!	о богиня
О, БОГИНЯ!	о богиня
 Koi ni naranai ne	koi ni naranai ne
Soba ni iru dake ja	soba ni iru dake ja
Nazo o kakete mo	nazo o kakete mo
Dounka-una hito dakara	dounkauna hito dakara
Natsu no fuku o kite	natsu no fuku o kite
Haru no umi ni kita	haru no umi ni kita
Anata no shatsu de	anata no shatsu de
Yasashiku kabaate	yasashiku kabaate
My Heart iidasenai	my heart iidasenai
Please KISS' su-u shite-te-e	please kiss suu shitetee
Day Dream yume wa fukurami	day dream yume wa fukurami
Sora ni... Takaku... Kieru...	sora ni takaku kieru
Onina no ko wa dare daate	onina no ko wa dare daate
Shi a wase ni naaa reru	shi a wase ni naaa reru
Hoi ga hajimareva	hoi ga hajimareva
Kagayaki-dasu	kagayakidasu
Tatoe namida nagashite mo	tatoe namida nagashite mo
Anata no sei nara	anata no sei nara
Mune o itamete mo	mune o itamete mo
Kansa-shi-ku-na-nu!	kansashikunanu
Вечная ночь	вечный ночь
Кейичи?	кейй
Что случилось, тебе приснился кошмар?	что случиться ты присниться кошмар
Ты...	ты
Ничего серьезного...	ничто серьёзный
Я принесу тебе воды.	я принести ты вода
Да... Она богиня. Рано или поздно она вернется на небеса.	да она богиня рано поздно вернуться небо
Если этот день наступит, я...	если день наступить я
Нет... это просто сон	нет это просто сон
Ну довольно... Слушай мой приказ:	ну довольно слушай приказ
"""Танцуйте, Белые духи..."""	танцевать белые дух
"""... Сияйте, духи Льда..."""	сиять дух лёд
"""...повинуйтесь моей потревоженной душе..."""	повиноваться мой потревожить душа
