cleaned_text	lemm_text
СУБТИТРЫ: Ю.КАРАВАН, С.АРТЁМОВ, А.СОЛОНИЦКИЙ	субтитр юкараван сартём асолоницкий
-А вы не из Самарканда?	а самарканд
-Из Самарканда. -То-то я вижу, у вас лицо знакомое.	из самарканд тоть видеть лицо знакомый
А не из 14-й школы, случайно? -Да. Вы тоже?	а 14й школа случайно да вы тоже
-Нет, я в соседней. Точно вас помню!	нет соседний точно помнить
-Ребят, подождите секундочку, а?	ребята подождать секундочка а
Слушай, ты не обижайся. Жизнь сейчас у всех непростая. Я тебя в это	слушай обижаться жизнь непростой я это
общежитие не выселяла бы, но только не все от меня зависит.	общежитие выселять бы зависеть
А комнату я правда видела. Хорошая светлая комната, жить будешь	а комната правда видеть хороший светлый комната жить быть
как королева.	королева
Ой... Только вот что...	ой только что
Съехать надо сегодня к двум часам. Сможешь?	съехать сегодня два часы смочь
ЗВОНОК В ДВЕРЬ	звонок в дверь
-Привет. -Здорово.	привет здорово
-Володь, а помоги мне с вещами. Меня из подвала выселяют.	володя помочь вещь я подвал выселять
В общежитии комнату отдельную дают. -Что ты как овца безропотная?	в общежитие комната отдельный давать что овца безропотный
Давай с этой Ларисой поговорим. Что тебя мотают туда-сюда?	давать лариса поговорить что мотать тудасюда
-Она тут вообще ни при чем. Извини, что потревожила.	она вообще чем извинить потревожить
-Подожди! Подожди!	подождать подождать
Ну зачем тебе эта общага? Вон у меня комната отдельная - живи.	ну ты этот общага вон комната отдельный живить
Не бесплатно, конечно. С тебя готовка, уборка, стирка.	не бесплатно конечно с готовка уборка стирка
СОБАКА ЛАЕТ	собака лаять
-А люди что скажут? Что я у неженатого мужчины живу?	а человек сказать что неженатый мужчина жить
-Жениться я не собираюсь, не мечтай. Пригорело?	жениться собираться мечтать пригореть
-Не хочешь помогать - не помогай.	не хотеть помогать помогать
-Блин! Пригорело все! -Жениться, не жениться!	блин пригореть весь жениться жениться
ЗВОНОК В ДВЕРЬ -Видишь, старик, одумалась.	звонок в дверь видеть старик одуматься
Насчет комнаты я пошутил. -Тшш!	насчёт комната пошутить тшш
-Э!	э
-Возьми-ка! -На.	возьмик на
-Геночка, я в другой номер переезжаю, с видом на море.	геночка номер переезжать вид мор
Вода прекрасная, 27 градусов. Угу.	вод прекрасный 27 градус угу
И я. Пока.	и я пока
Ну что ты стоишь? Давай, заноси чемодан.	ну стоять давать заносить чемодан
-Господи, кто же тебя так? -Долго рассказывать.	господь так долго рассказывать
Вова, шевелись! Заноси чемодан.	вова шевелиться заносить чемодан
-Интересно, ты мне тоже вот так втюхивала?	интересно втюхивала
-А что тебе втюхивать? Ты кроме своей работы ничего не замечал.	а ты втюхивать ты кроме свой работа замечать
Я вообще не уверена, что ты заметил, что я к Гене переехала.	я вообще уверить заметить ген переехать
-Зато заметил, что вернулась. -Ой, ну ты-то хоть не начинай!	зато заметить вернуться ой тыть начинать
Мне нельзя долго разговаривать, я после круговой подтяжки.	я долго разговаривать круговой подтяжка
У меня швы болят, голова болит. Где у вас вода?	у шов болеть голова болеть где вод
Что у нас делает собака на кухне?!	что делать собака кухня
У Лизы я жить не могу. У нее там тапочки надо снимать, когда	у лиза жить мочь у тапочки снимать
в ванную заходишь. Понимаешь, она так живет. У нее там белый коврик	ванная заходить понимать жить у белый коврик
из Швеции. Вот на него нельзя наступать.	швеция вот наступать
-А я здесь при чем? -Нельзя наступать на коврик!	а чем нельзя наступать коврик
Мне в моем состоянии надо расслабляться, иначе красота	я мыть состояние расслабляться иначе красота
не приживется. Так что жить буду здесь. Имею право.	прижиться так жить быть здесь иметь право
-Нин, какое право? -Володь, ну сам подумай.	нина какой право володя подумать
Куда я пойду с таким лицом?	куда пойти такой лицо
-И надолго у тебя такое лицо? -На неделю.	и надолго такой лицо на неделя
Потом буду диво как хороша!	потом быть диво хороший
Подарок для Геночки.	подарок геночка
Ко дню рождения.	к день рождение
-А...	а
-В подвале сыро, а тут тепло, уютно. Здрасте.	в подвал сыро тепло уютный здравствовать
-Здрасте. -Тебе нравится?	здравствовать ты нравиться
-Да, нормально. -Здрасте.	да нормальный здравствовать
-Здравствуйте. Мавлюда. -А я Гуля.	здравствовать мавлюда а гуля
-А что такое? Что случилось?	а такой что случиться
-В чем дело? -Пойдем поговорим.	в дело пойти поговорить
-Что с вами? -Нет... А вы узбечка, да?	что вы нет а узбечка да
-Да. А вы? -А я из Киргизии.	да а вы а киргизия
-Понятно. -Вот шкаф свободный. Здесь.	понятно вот шкаф свободный здесь
Вот. -Пойдем. Поговорить надо.	вот пойти поговорить надо
-Ай! Аккуратно!	ай аккуратно
-Понятно.	понятно
-Ставь сюда.	ставить сюда
-Пошли со мной. Пиночет!	послать я пиночет
-Прачечная там, мелкий ремонт одежды. -То есть вы в курсе?	прачечный там мелкий ремонт одежда то курс
-А мы всегда в курсе, товарищ Каленый, потому что мы полиция.	а курс товарищ калёный полиция
Никакой там не бордель, а малое предприятие по оказанию населению	никакой бордель малое предприятие оказание население
бытовых услуг. -Каких же услуг?	бытовой услуга какой услуга
-Бытовых услуг. Глажка, мелкий ремонт одежды.	бытовой услуга глажка мелкий ремонт одежда
-У меня как раз есть друг, которому нужен мелкий ремонт одежды.	у друг который нужный мелкий ремонт одежда
Александр Васильевич, генерал, начальник главка вашего.	александр василий генерал начальник главка ваш
-Ты мне... -Как раз он звонит.	ты я как звонить
Да, Александр Васильевич. НИНА: Володя, ты о чем?	да александр василий нина володя чем
-Здравия желаю. -Ты мне нужен. Прекрати!	здравие желать ты нужный прекратить
Иди ты к черту! -Можете перезвонить?	идти черта мочь перезвонить
ГУДКИ	гудок
Я у майора Неберухина беседую.	я майор неберухин беседовать
И вам тоже, товарищ генерал.	и тоже товарищ генерал
Может, расскажем ему об этом чудо-сервисе?	мочь рассказать чудосервис
-Точно. Проверим мы твой подвал. Беру на карандаш.	точно проверить твой подвал брать карандаш
Ну что, все? -Все.	ну что весь весь
-А что стоим? -Разрешите идти?	а стоять разрешить идти
-Идите!	идти
-Нин, ты чего звонила? -Володя, срочно едешь ко мне, тебя	нина звонить володя срочно ехать к я
ждет Полька. Возьмешь кое-что. -Никуда я не поеду.	ждать полька взять коечто никуда поехать
Гена не заметит, что мы полквартиры вынесли?	ген заметить полквартира вынести
-Да ну! Ты что? Как мама уехала, мы только пиццу едим.	да ну ты что как мама уехать пицца есть
-Может, со мной, маму навестишь?	мочь я мама навестить
-Пап, дай отдохну от нее. -Как я тебя понимаю!	папа дать отдохнуть нея как понимать
-Ну, все! -По-моему, ты что-то затеяла.	ну весь помоему чтоть затеять
-Пап!	папа
Давай! -Ну давай.	давать ну давать
-Все, Вов, спим.	весь вова спать
-31 баран, 32 барана... -Спишь, Вов?	31 баран 32 баран спать вова
Я недавно одного клиента развела, с самого-самого верха.	я недавно один клиент развести самогосамый верх
-34 барана. -Таких даже по телику не показывают.	34 баран такой телик показывать
-35 баранов. -У него все на жену было записано:	35 баранов у жена записать
и виллы, и яхты, и металлургические комбинаты, Володь.	вилла яхта металлургический комбинат володя
Жаль, я сказать тебе не могу, потому что это тайна и мне жизнь дорога.	жаль сказать ты мочь это тайна жизнь дорога
Могу только имя сказать.	мочь имя сказать
Иван Игоревич. -37 баранов.	иван игорь 37 баранов
38 баранов. -Не проболтайся.	38 баранов не проболтаться
ПЛАЧ	плач
-Гуля, ты что?	гуля что
Что случилось?	что случиться
Ты что плачешь?	ты плакать
Ты чего?	ты что
-Иван Игоревич доволен остался.	иван игорь довольный остаться
"Говорит: ""Нина, обращайся с любым вопросом"". Слышь, Володя? С любым!"	говорить нина обращаться любой вопрос слышь володя с любой
Я вот думаю, с каким вопросом обратиться.	я думать какой вопрос обратиться
Все в голову какая-то чушь лезет. Будто соседка меня залила,	весь голова какаять чушь лезть будто соседка залить
а Иван Игоревич приказывает посадить ее пожизненно.	иван игорь приказывать посадить пожизненно
Володь! Ты бы что попросил?	володя ты попросить
Можно для Польки чего-нибудь. Хотя у Польки все есть.	можно полька чегонибудь хотя полька есть
ТАИНСТВЕННАЯ МУЗЫКА	таинственный музыка
-Ты чего?	ты что
Здравствуй, Азиз. -Ты ищешь Халида?	здравствовать азиз ты искать халид
-Да. Ищу.	да искать
-Он умер.	он умереть
Ты убил его. Ты убил его!	ты убить он ты убить он
-Это я! Нина! Нина! Это я! Нина! Это Нина!	это я нина нина это я нина это нина
-Нин, ты что по ночам бродишь? -Я таблетку искала.	нина ночь бродить я таблетка искать
Снотворное. -Вон там.	снотворный вон там
-Ужас какой-то.	ужас какойтый
Ты будешь? -Нет.	ты быть нет
-Турсун из нашего кишлака.	турсун наш кишлак
"Говорит: ""Ты все равно пропащая, так хоть деньги этим зарабатывай""."	говорить ты равно пропащий деньга это зарабатывать
"-Чем - этим? -""Мужиков ублажай."	чем это мужик ублажать
А мы тебе денег много дадим. А не захочешь, брату твоему	а ты деньга дать а захотеть брат твой
