cleaned_text	lemm_text
СУБТИТРЫ: Е.МАСЛЕННИКОВА, О.СУСЛИНА, Е.ДОБРОВИЦКАЯ, Л.НЕСТЕРЕНКО	субтитр емасленников осуслина едобровицкий лнестеренко
-Ты чего? -Ты сейчас разговаривал.	ты что ты разговаривать
-И что говорил?	и говорить
"-""Подсекай, подсекай, а то уйдет"". Бандитов, что ли, ловил?"	подсекать подсекать уйти бандит ли ловить
-Перед самой лункой ушел, скотина. -Кто ушел?	перед самый лунка уйти скотина кто уйти
-Лещ. Килограмма на два. Плохой сон. На рыбалку пора.	лещ килограмм два плохой сон на рыбалка пора
-А рыба к беременности снится. -Чего?!	а рыба беременность сниться что
-Да ничего.	да ничто
Может, ты руку отлежал? -Наверное.	мочь рука отлежать наверное
-Ну спи, рыбак. -Леся...	ну спать рыбак леся
Все взяла, ничего не забыла? -Все взяла.	весь взять забыть весь взять
Ну посиди со мной, пожалуйста. Присядь на дорожку - примета такая.	ну посидеть я пожалуйста присесть дорожка примета такой
Ты будешь по мне скучать?	ты быть скучать
-Ну конечно. Но я справлюсь.	ну конечно но справиться
-Володя, я в следующий раз хочу сына привезти.	володя следующий хотеть сын привезти
СОБАКА ПОСКУЛИВАЕТ	собака поскуливать
Он тебе понравится. Знаешь, он какой хороший!	он ты понравиться знаешь хороший
Да не расстраивайся ты так. Я думала, он у тетки остановится.	да расстраиваться так я думать тётка остановиться
Просто хотела, чтобы познакомились, если ты не против.	просто хотеть познакомиться против
ЗВОНОК В ДВЕРЬ -Я открою?	звонок в дверь я откроить
-Здравствуй. -Привет.	здравствовать привет
-Здравствуйте. -Здрасте. Хотела вас пригласить	здравствовать здравствовать хотеть пригласить
с Олесей сегодня... День рождения у меня, приходите.	олесь сегодня день рождение я приходить
-Спасибо, зайдем. -А я в рейс ухожу.	спасибо зайти а рейс уходить
Ну смотри тут за моим, чтобы баб не водил.	ну смотреть мой баба водить
-До свидания.	до свидание
-С днем рождения!	с днём рождение
-Пошли до дому, дереза. -Арсений Семенович, нас проверяют.	послать дом дереза арсений семён проверять
Положено час гулять. Вы понимаете? У вас недавно был инфаркт. У меня	положить час гулять вы понимать у недавно инфаркт у
один недавно умер от инфаркта! -Не дождетесь! Я до 120 проживу.	недавно умереть инфаркт не дождаться я 120 прожить
-О!	о
Бордо, урожай 2012 года.	бордо урожай 2012 год
В этом году виноград был кислый, но выбора нет.	в год виноград кислый выбор нет
-Я вашей конторе квартиру не за так отписал.	я ваш контора квартира отписать
Ты обо мне заботиться должна, угождать. А то я и передумать могу.	ты о заботиться должный угождать а передумать мочь
НАПРЯЖЕННАЯ МУЗЫКА	напрячь музыка
-Смотри, сколько всего! Все твоего размера.	смотреть сколько всего весь твой размер
Я у одной женщины с Авиамоторной по выходным убираюсь. Такая модная	я один женщина авиамоторный выходной убираться такой модный
"женщина! Говорит: ""Старая коллекция, не надену, забирай"". А на меня"	женщина говорить старый коллекция надеть забирать а
не лезет. Не пропадать же!	лезть не пропадать же
А эта сами знаете, в чем ходит.	а этот сам знаете ходить
Стой, а!	стоять а
-Очень хорошо. -В самый раз!	очень хорошо в самый раз
Ну скажите вы ей, что так жить нельзя! Ну пропал муж и пропал.	ну сказать она жить нельзя ну пропасть муж пропасть
Сколько времени прошло? Нельзя же себя заживо хоронить!	сколько время прошлый нельзя заживо хоронить
Еще несколько лет - и никаких шансов. Ладно я - у меня внешность	ещё несколько год никакой шанс ладный внешность
европейская, мне проще.	европейский простой
Мужиков брать надо, а не ждать милости от природы.	мужик брать надо ждать милость природа
Правильно я говорю? МАВЛЮДА ГОВОРИТ ПО-УЗБЕКСКИ	правильно говорить мавлюда говорить поузбекски
-Что мы, чай будем пить? -Ну да.	что мы чаять быть пить ну да
-Вот я... сколько раз обжигалась, и ничего, руки не опускаю.	вот я сколько обжигаться ничто рука опускать
В России мужиков бесхозных видимо-невидимо.	в россия мужик бесхозный видимоневидимо
-Нашли кого-нибудь?	найти когонибудь
-Нет пока.	нет пока
Я над этим работаю. Устроилась в контору по уходу за пожилыми	я это работать устроиться контора уход пожилое
людьми, которые, как помрут, квартиры отписывают. У меня так знакомая одна	человек который помереть квартира отписывать у знакомый один
ухаживала, Алия... Ну ты помнишь? ...за одним народным певцом.	ухаживать алий ну помнить за один народный певец
Все еще смеялись над ней, а она за ним так ухаживала, что старикан	весь смеяться она ухаживать старикан
контракт расторгнул и женился на ней. А через три месяца помер.	контракт расторгнуть жениться она а месяц помереть
-Феруза... -Удар.	феруз удар
-Смени тему, а? -Двухкомнатная в Печатниках.	сменить тема а двухкомнатный печатник
-Помолчи, пожалуйста. -Ну и повезло Алие, а!	помолчать пожалуйста ну повезти алие а
-Мне кажется, Печатники не очень хороший район.	я кажется печатник очень хороший район
-Ничего, можно и с Печатников начать. -Конечно.	ничто печатник начать конечно
-Почем утюг брали? -Феруза!..	почём утюг брать феруз
-Ну просто если мужчина дарит утюг, значит, у него серьезные намерения.	ну просто мужчина дарить утюг значит серьёзный намерение
Я не про вас, конечно, вы без намерений.	я вы конечно намерение
-Смени тему. -Ой, а завтра я на Рублевку еду.	сменить тема ой завтра рублёвка еда
К богатому вдовцу. Молодой, считай, 70 лет. Генерал. Дети за границей.	к богатый вдовец молодая считать 70 год генерал ребёнок граница
Любит восточную кухню. -А старика своего на кого оставляешь?	любить восточный кухня а старик свой кто оставлять
-На тебя. -Даже не мечтай.	на ты даже мечтать
-Ты мне сестра или кто?	ты сестра кто
-Троюродная. -Нет, вы посмотрите на нее!	троюродный нет посмотреть нея
Всего-то час в парке, укол и обед. Он одни макароны лопает.	всеготь час парка укол обед он один макароны лопать
Я уже и договорилась. Ну мне правда от него отдых нужен.	я договориться ну правда отдых нужный
Я с ним энергетически не сошлась. Боюсь, убью.	я энергетически сойтись бояться убить
Тебе что, деньги не нужны?	ты что деньга нужный
-Ладно, девчонки, я пошел.	ладный девчонка пойти
Мавлюда, соглашайся, это шанс.	мавлюда соглашаться это шанс
Ну, с днем рождения. -Да, спасибо.	ну днём рождение да спасибо
-Приходите еще!	приходить ещё
Что?	что
Это тоже выкидывать? С автографом.	это выкидывать с автограф
-Только пыль от них. -Букинисты хороших денег дадут.	только пыль они букинист хороший деньга дать
-О, тогда оставь.	о оставить
-А Платона? Тут какие-то ваши пометки, закладка.	а платон тут какиеть ваш пометка закладка
Вы любите философию. -А что ее не любить?	вы любить философия а любить
Вижу плохо. -Так давайте я вам почитаю.	видеть плохо так давать почитать
-Валяй. -Голову опустите, пожалуйста.	валять голова опустить пожалуйста
С какого места почитать? С закладки? -Ага.	с какой место почитать с закладка ага
-Петя, ну чего? -Он, мамой клянусь.	петя что он мама клясться
-А где живет?	а жить
А окна какие у него? -Вон, на шестом этаже,	а окно какой он вон шест этаж
где горшки. Видишь? Там еще занавески белые.	горшок видеть там занавеска белые
-С цветами? Цветовод.	с цвета цветовод
"-""Если, о муже, вам будет казаться, что мои сыновья, сделавшись"	если муж казаться мой сын сделаться
взрослыми, больше заботятся о деньгах или еще о чем-нибудь,	взрослый заботиться деньга чемнибыть
чем о доблести, отомстите им за это. Если они будут много о себе думать,	доблесть отомстить это если быть думать
будучи ничем, укоряйте их так же, как я вас укорял, за то, что они	быть ничто укорять же укорять то
не заботятся о должном. И, делая это, вы накажете по справедливости	заботиться должное и делать это наказать справедливость
не только моих сыновей, но и меня самого. Но вот уже время идти отсюда.	мой сын самый но время идти отсюда
"Мне - чтобы умереть, вам - чтобы жить""."	я умереть жить
Пора делать укол.	пора делать укол
-У меня тоже был сын. -Лежите спокойно, я почти заканчиваю.	у сын лежать спокойно заканчивать
Вот так руку сделайте. -О!..	вот рука сделать о
-Что такое? Э! Что видим?	что такой э что видеть
В ушах шумит? -Помираю!	в ухо шуметь помирать
-Что слышишь? А? -Я дочка, умру?	что слышать а я дочка умереть
-Нет, не умрешь. Тише-тише. Только не у меня на руках.	нет умереть тишетиша только рука
-Скажи Федьке... я как Сократ - я все по справедливости,	сказать федька сократ справедливость
все конторе!.. Дулю ему!..	контора дуля он
-Леска 0,14, крючочки шестерка, потоньше. Черт.	леска 014 крючочек шестёрка тонкий черта
Уралочки две. Вольфрамовые, покрупнее.	уралочка два вольфрамовый крупный
Кивки лавсановые и две балалайки. Проверяйте.	кивок лавсановый два балалайка проверять
На леща идешь?	на лещ идти
-На него родимого.	на родимый
-Возьми кормушки побольше. -Взял.	взять кормушка большой взять
Сама мотылем прикармливаешь? -А то!	сам мотыль прикармливать а то
-Я еще грязь добавляю. И семечки молотые.	я грязь добавлять и семечко молотый
-Поджаренные? -Ну а то!	поджарить ну то
-А сухари добавляешь? -Панировочные. Ну что,	а сухарь добавлять панировочный ну что
иди ко мне жить?	идти к жить
-Едрена дрянь. -Пейте кофе, не разговаривайте.	едрен дрянь пить кофе разговаривать
Я там оставила на ужин гречку на плите. Подогрейте.	я оставить ужин гречка плита подогреть
На ночь лекарство выпейте, ладно? Одну таблетку.	на ночь лекарство выпить ладный один таблетка
-Угу. -Фантин я отменяю.	угу фантин отменять
И зря мы скорую помощь не вызвали.	и зря скорый помощь вызвать
-Дочка! -Да?	дочка да
-А ты завтра придешь?	а завтра прийти
-Приду.	прийти
-Это что получается? Он бы в мою смену окочурился?	это получаться он мой смена окочуриться
-Как давно ты ему колешь фантин? -Как из больницы выписался,	как давно колоть фантин как больница выписаться
как врач назначил. -Какой врач?	врач назначить какой врач
У него нет сердечной недостаточности. Откуда такой диагноз?	у сердечный недостаточность откуда диагноз
-В поликлинике назначили. -В какой?	в поликлиника назначить в какой
-Фирма отслеживает лечение. -А, фирма? Понятно.	фирма отслеживать лечение а фирма понятно
-То-то он о конце иглы заговариваться начинал.	тоть конец игла заговариваться начинать
Я думала, надо мной издевается, хулиганит.	я думать я издеваться хулиганить
-Ты же работала в больнице. Ты не понимала по реакции, что ты	ты работать больница ты понимать реакция
его убиваешь? Измерила бы ему хотя бы пульс! Еще три таких укола -	убивать измерить хотя пульс ещё такой укол
и он бы умер! А квартира перешла бы фирме - очень удобно!	умереть а квартира перейти фирма очень удобно
-Как ты могла такое подумать? Я бы на такое никогда не пошла.	как мочь такой подумать я такой пошлый
Я по-честному хочу. -Руся!	я почестной хотеть раться
Ты идешь? -Иду, Михаил Михайлович!	ты идти идти михаил михайло
-Руся - это что? -Я. Так звали его жену-покойницу.	раться это что я так звать женупокойница
Я тебе денег добавлю. Походи пока к старику, а? Складывается у меня,	я ты деньга добавить походить пока старик а складываться я
понимаешь? А фирме сообщу... -Не вздумай! А если они замешаны?	понимать а фирма сообщить не вздумать а замешать
Ты мозг-то свой включи, Феруза! Руся...	ты мозгто свой включить феруз раться
-Ладно, не буду.	ладный быть
-Стой. Он говорил, у него сын есть. Ты слышала?	стоять он говорить сын есть ты слышать
-Нет у него никого. С ним бы договор ни за что не заключили.	нет никто с договор заключить
Они проверяют. Он тебе наговорит, ага! Больше слушай.	они проверять он ты наговорить ага большой слушай
-Они его убьют, и концов никаких.	они убить конец никакой
-Что ты выдумываешь? Поехали на рыбалку.	что выдумывать поехать рыбалка
-Этот препарат назначается при сердечной недостаточности,	этот препарат назначаться сердечный недостаточность
там дозы огромные. А у него этой недостаточности нет, я его чуть	доза огромный а недостаточность нет
не убила. -Что он, на тебе жениться обещал?	убить что он ты жениться обещать
-Мы все будем старыми, и ты тоже.	мы быть старое тоже
"-А я сегодня в ""Рыболове"" встретил женщину своей мечты. На леща ходит."	а сегодня рыболов встретить женщина свой мечта на лещ ходить
"-Риелторская фирма ""Надежда"". Клиент Должанский Арсений Семенович,"	риелторский фирма надежда клиент должанский арсений семён
1931 года рождения. Не женат, детей нет, родственников нет.	1931 год рождение не женатый ребёнок нет родственник нет
