cleaned_text	lemm_text
Ты знаешь об этом.	ты знаешь это
И Леони чувствует это.	и леонить чувствовать это
Я думаю	я думать
у нас всё будет хорошо. - Когда же?	весь хорошо когда же
Решишь несколько старых проблем и всё станет хорошо?	решить несколько старое проблема весь стать хорошо
Да.	да
Мне нужен телефон бывшей жены Грегора. Хочу пригласить её в субботу.	я нужный телефон бывший жена грегор хотеть пригласить её суббота
В субботу?	в суббота
Твой День Рождения.	твой день рождение
А, точно.	а точно
Номер есть в твоём мобильном.	номер твой мобильный
Он должен быть где-то здесь.	он должный гдеть здесь
Я поищу его, хорошо?	я поискать он хорошо
Тишина! Время отдыха!	тишина время отдых
Просто шутка.	просто шутка
Вы напугали меня этим утром. Ударились головой об этот грузовик.	вы напугать это утром удариться голова грузовик
Не хотите разговаривать?	не хотеть разговаривать
<i>O Ну хорошо,</i>	io ну хорошоi
с самим собой поговорить тоже неплохо.	сам себя поговорить неплохо
Так ведь, Сигги?	так ведь сигга
Конечно, Сигги.	конечно сигга
Отлично!	отлично
Нет. Подарков не надо, пожалуйста. Увидимся в субботу. Пока.	нет подарок надо пожалуйста увидеться суббота пока
Дэвид?	дэвид
Ты должен был дать мне номер. - Не могу найти свой телефон.	ты должный дать номер не мочь найти свой телефон
<i>Алло?</i>	iаллоi
Кто это?	кто это
<i>Кто вы?</i>	iкто выi
У вас телефон моего мужа.	у телефон мой муж
Подождите минутку.	подождать минутка
Я позвонила на твой номер.	я позвонить твой номер
Андернах?	андёрн
Ты потерял вчера кое-что.	ты потерять вчера коечто
Кто это?	кто это
<i>Как будто ты не знаешь.</i>	iкак знаешьi
Я ей ещё ничего не рассказала.	я ещё рассказать
Приходи.	приходить
В три часа? Да, это нормально. Спасибо.	в час да это нормальный спасибо
Я обронил телефон на тротуаре, когда вышел из галереи. Встречусь с ней в городе.	я обронить телефон тротуар выйти галерея встретиться город
Быстро ты. - Да.	быстро ты да
В тебе что-то изменилось.	в ты чтоть измениться
Люди меняются. - За 24 часа?	человек меняться за 24 час
Да. Где мой телефон?	да где телефон
Спасибо.	спасибо
Куда ты уходишь? - Домой. - Подожди!	куда уходить домой подождать
Что по поводу нас? - У меня есть семья.	что повод мы у семья
И ты не хочешь ранить их. - Именно так.	и хотеть ранить они именно так
Трахни меня.	трахнуть я
Я ведь сказал тебе... - Трахни меня.	я сказать ты трахнуть я
Наши души подходят друг другу. Разве ты не чувствуешь? - Нет.	наш душа подходить друг друг разве чувствовать нет
Трахни меня!	трахнуть я
<i>Или я расскажу всё твоей жене.</i>	iить рассказать весь твой женеi
Что ты сказала? - А как ты можешь остановить меня?	что сказать а мочь остановить я
Скажи это.	сказать это
Сказать что? - Скажи, что ты переспишь со мной.	сказать что сказать переспать я
Сейчас же.	сейчас же
Нет.	нет
Тогда почему ты до сих пор здесь?	тогда почему сей пора здесь
Иди и скажи спасибо.	идти сказать спасибо
Спасибо.	спасибо
Мам, лови!	мама ловить
Можно мне идти?	можно идти
Можно мне кофе?	можно кофе
Конечно, я приготовлю. С молоком или холодный?	конечно приготовить с молоко холодный
Она готовит отличный холодный кофе. - Удиви меня.	она готовить отличный холодный кофе удивить я
Тебе тоже сделать, мама? - Да.	ты сделать мама да
Если б я не любил тебя так сильно, я бы разбил тебе морду.	если б любить сильно разбить ты морда
Я не обманывал Маю. - Тогда почему ты прятался, выходя из того дома?	я обманывать май тогда почему прятаться выходить дом
Ты умеешь хранить тайны? - Избавь меня от своих постельных историй.	ты уметь хранить тайна избавить свой постельный история
Макс, ты умеешь хранить тайны?	макс уметь хранить тайна
Даже не знаю с чего начать. Всё это какое-то безумие.	даже знать начать весь это какоеть безумие
Старый Дэвид крутил с ней роман.	старый дэвид крутило роман
А ты значит новый?	а значит новый
Понимаешь, я не тот Дэвид.	понимать дэвид
Я на 5 лет старше.	я 5 год старший
Позавчера в 2008 году	позавчера 2008 год
Я нашёл туннель ведущий к двери	я найти туннель ведущий дверь
и войдя туда я оказался... здесь.	войти туда оказаться здесь
Всё стало снова хорошо. Леони снова жива, и Мая...	весь стать снова хорошо леонить снова живой май
Может ты слишком много выпил? - Это правда, Макс! Посмотри на меня.	мочь слишком выпить это правда макс посмотреть я
Я старше на 5 лет. Я покрасил волосы. Посмотри на меня.	я старший 5 год я покрасить волос посмотреть я
И где же молодой Дэвид?	и молодая дэвид
Это был несчастный случай.	это несчастный случай
Я похоронил его в саду.	я похоронить сад
Знаешь что?	знаешь что
Послушай.	послушать
Будь идиотом, разрушай свою семью, но избавь меня от выслушивания этого бреда.	быть идиот разрушать семь избавить выслушивание бреда
Я знаю имена твоих сыновей.	я знать имя твой сын
Макс, я знаю твою будущую жену.	макс знать твой будущий жена
Скоро ты будешь очень популярен. Люди будут покупать твои работы.	скоро быть очень популярный человек быть покупать твой работа
Они будут представлены на международной выставке.	они быть представить международный выставка
Как их зовут? - Кого?	как звать кто
Моих сыновей.	мой сын
Младшего Каспар, старшего Фридрих.	младший каспар старший фридрих
Ты самый большой лжец, из тех, кого я знаю.	ты самый большой лжец тот кто знать
Я не вру, Макс.	я врать макс
Лучше этого уже не будет.	хороший быть
Увидимся в следующий раз.	увидеться следующий раз
Вы должно быть отец Леони.	вы должный отец леонить
Передавайте привет Мае.	передавать привет май
Конечно не передам.	конечно передать
Какой из себя твой учитель музыки? Он хороший?	какой твой учитель музыка он хороший
Ужасный. Учиться играть на флейте ужасно.	ужасный учиться играть флейта ужасно
Играть на флейте - тоже.	играть флейта тоже
Как насчет сделки? Ты меня разок обнимаешь,	как насчёт сделка ты разок обнимать
и тебе больше не нужно ходить на уроки музыки.	ты нужно ходить урок музыка
Это решает мама.	это решать мама
Но я могу поговорить с ней.	но мочь поговорить она
Ты сказал один раз.	ты сказать раз
Мне все равно. Я не хочу туда идти.	я равно я хотеть туда идти
Нет,	нет
Поговорим об этом завтра. - Привет, Дэвид.	поговорить завтра привет дэвид
Здравствуй, Сузанна.	здравствовать сузанна
Как поживают две мои красавицы?	как поживать два мой красавица
Я покажу вам, как это работает. Готовы?	я показать вы это работать готовый
Макс мне уже показал. - Правда?	макс показать правда
Ладно, берешься за резинку, набрасываешь её сюда,	ладный браться резинка набрасывать её сюда
тянешь ее со всей силы,	тянуть весь сила
и затем... отпускаешь ее!	затем отпускать она
Здесь воняет!	здесь вонять
Я ничего не чувствую.	я чувствовать
Возможно моль сходила в туалет.	возможно моль сходить туалет
Твой папа прикольный. - Он не мой папа.	твой папа прикольный он папа
Тогда кто же я?	тогда я
Чудовище?	чудовище
А сейчас Леони.	а леонить
Леони не хватит смелости.	леонить хватить смелость
Я не боюсь тебя. - Такого и не должно быть.	я бояться ты такой должный быть
Это что-то новенькое, не так ли?	это чтоть новенький ли
Можно и мне одну?	можно один
Последняя выкуренная мной сигарета была как раз перед моим тестом на беременность. - Да...	последний выкурить я сигарета мой тест беременность да
Я помню.	я помнить
Это хорошо.	это хорошо
Ты в самом деле видишь нас такими?	ты самый дело видеть такой
Нет.	нет
Я так долго не доверяла тебе.	я долго доверять ты
Мне нужно снова привыкнуть.	я нужно снова привыкнуть
Что ты читаешь?	что читать
ЧЕШСКИЕ СКАЗКИ	чешский сказка
Что ты сделал с папой?	что сделать папа
Я видела кровь.	я видеть кровь
<i>Аа, ты об этом.</i>	iаа этомi
Мы дрались понарошку, а потом у него пошла носом кровь.	мы драться понарошку пошлый нос кровь
Значит папа всё ещё жив?	значит папа весь ещё живой
Да, конечно.	да конечно
Где он?	где он
Далеко.	далеко
Могу я позвонить ему?	мочь позвонить он
Могу я написать ему письмо?	мочь написать письмо
Ты знаешь, кто такой ангел-хранитель?	ты знаешь ангелхранитель
Ты один из них?	ты они
Все отцы ими являются.	весь отец они являться
Они защищают своих дочерей. Это их работа.	они защищать свой дочь это работа
Но твой отец не делал свою работу. Его не было рядом, когда это случилось.	но твой отец делать работа он ряд это случиться
Вот почему я поменялся местами с ним.	вот почему поменяться местами он
Я как он, только...	я он только
Лучше?	хороший
Я постараюсь.	я постараться
Почему он не попрощался со мной?	почему попрощаться я
Я думаю, ему было очень стыдно.	я думать очень стыдно
"""А теперь позволь задать тебе загадку, чтоб ты могла ещё немного повеселиться."	а позволить задать ты загадка мочь ещё немного повеселиться
Как насчет этой: «Внутрь через одну дыру, наружу через две,	как насчёт этот «внутрь один дыра наружу два
"и только когда ты снаружи, на самом деле ты внутри.""'"	снаружи самый дело внутри
Вот он!	вот он
Спокойной ночи, папочка.	спокойный ночь папочка
Спокойной ночи.	спокойный ночь
"""Осторожно, принцесса взглянула на Андреса."	осторожно принцесса взглянуть андрес
"Что будет, если я не смогу решить эту загадку? Ничего, не считая того что ты меня поцелуешь."""	что быть смочь решить загадка ничто считать поцеловать
Я люблю тебя...	я любить ты
Дуй!	дуть
Что? - Это волшебство!	что это волшебство
С днем рождения! - Спасибо.	с днём рождение спасибо
Ты счастлив?	ты счастливый
