cleaned_text	lemm_text
Скажите, что люблю и не могу жить без нее. Меня она не слушает. Ну...	сказать любить мочь жить нея я слушать ну
Мадмуазель, он любит Вас! Не может жить без Вас!	мадмуазель любить вы не жить вы
-Эй, не так, Поло! -Что?	эй так полый что
С чувством, эмоциональней!	с чувство эмоциональный
Он любит Вас, мадмуазель! Не может жить без Вас!	он любить вы мадмуазель не жить вы
Прошу Вас, сделайте это для меня. Меня жена ждет...	просить вы сделать это я я жена ждать
Хорошо, но предупреждаю, я вернусь, чтобы собрать свои вещи.	хорошо предупреждать вернуться собрать свой вещий
Я пойду к Кати.	я пойти катя
Она хочет вернуться собрать свои вещи. Она пойдет спать к Кати.	она хотеть вернуться собрать свой вещий она пойти спать катя
Хорошо, лапочка, хорошо! Возвращаемся.	хорошо лапочка хорошо возвращаться
Нечего ломать комедию. Борис...	нечего ломать комедия борис
-Нечего ломать комедию. Борис... -Заткнись, занимайся своим делом!	нечего ломать комедия борис заткнуться заниматься свой дело
-Говорите после сигнала. -Вас нет дома...	говорить сигнал вы дом
Да, вот, я подумала...	да вот подумать
Я приду завтра в 5 часов, как Вы мне любезно предложили...	я прийти завтра 5 часы вы любезно предложить
Я буду счастлива увидеть Ваши творения вблизи.	я быть счастливый увидеть ваш творение вблизи
Да, завтра у нас четверг, не так ли? Четверг, 17-00?	да завтра четверг ли четверг 1700
Да, это Флоранс. Флоранс Арно. Спокойной ночи, Ян и до завтра.	да это флоранс флоранс арно спокойный ночь ян завтра
Алло, Флоранс?!	алло флоранс
Надеюсь, это не безумие.	надеяться это безумие
А чем ты рискуешь? Он тебя не изнасилует. Не его стиль.	а рисковать он изнасиловать не стиль
Знаешь, почему он мне нравится? Не смейся, Наташа. Он чист душой.	знаешь почему нравиться не смеяться наташа он чистый душа
-Я серьезна. -Он живет в другом мире, поверь.	я серьёзный он жить друг мир поверь
Маленький Принц, что ли?	маленький принц ли
Вместо того, чтобы тебя поджарить, он попросит нарисовать барашка, так?	вместо тот поджарить попросить нарисовать барашек так
Добрый вечер.	добрый вечер
Твой муж всегда со своим портфелем!	твой муж свой портфель
Ты что, он вернулся с делового ужина.	ты что вернуться деловой ужин
-Ева, прекрати эту комедию! -Отстань!	ева прекратить комедия отстать
-Так ты ничего не добьешься! -Хорошо. Успокоимся и поговорим.	так добиться хорошо успокоиться поговорить
-Я не зверь. Поговори! Ты куда? -Подышать! Можно?	я зверь поговорить ты куда подышать можно
У Вас есть сигарета? Мне очень жаль за недавнее...	у вы сигарета я очень жаль недавний
Вашему другу надо меньше пить.	ваш друг маленький пить
Что ты там делаешь?	что делать
-Иди сюда! -Оставь меня или я закричу, Борис!	идти сюда оставить закричать борис
-Мне наплевать! -Послушайте, прошу Вас...	я наплевать послушать просить вы
-Ааааааа! -Не вмешивайтесь!	ааааааа не вмешиваться
-Я бы хотел! -Оставь его, говорю!	я хотеть оставить он говорить
Ааааааа!	ааааааа
