cleaned_text	lemm_text
СУБТИТРЫ: Н.ПЕТРУЛЕВИЧ, М.ДВОРАК, А.СОЛОНИЦКИЙ	субтитр нпетруль мдворак асолоницкий
СТОН	стон
ЗВОНОК	звонок
-Ты давай, это самое... раньше времени не...	ты давать это самый ранний время не
-Спасибо, что повез.	спасибо повезти
-К вам сегодня мужчину подкинули... -Чучмека, что ли?	к сегодня мужчина подкинуть чучмёк ли
-Где он? Вот его жена.	где он вот жена
-Переломы многочисленные, голова вдребезги. Скорее всего, падение	перелом многочисленный голова вдребезги скорее всего падение
с большой высоты. Что мы могли - то все сделали.	большой высота что мочь сделать
-Надо пойти в морг.	надо пойти морг
-Это то, в чем в его нашли.	это то найти
Одежда...	одежда
Ботинки.	ботинок
Это ключи были в кармане.	это ключ карман
И документы.	и документ
-Паспорт мужа. -Ну, это не паспорт, это копия. Все?	паспорт муж ну это паспорт это копия весь
-Пойдемте. -Пойдемте.	пойти пойти
Не он. -Внимательно посмотрите.	не он внимательно посмотреть
-Не Самир, не мой муж.	не самир муж
-У погибшего были документы твоего мужа. Для нас это ниточка.	у погибший документ твой муж для это ниточка
Ведь он мог знать Самира, так?	ведь мочь знать самир так
Надо просто вычислить эту стройку.	надо просто вычислить стройка
С тобой все нормально?	с ты нормальный
Н-да. Ну, стройка должна быть где-то рядом с больницей.	нда ну стройка должный гдеть ряд больница
-Наоборот, везут подальше, чтобы не нашли.	наоборот везти далёкий найти
-Нет, он был в тяжелом состоянии. Тут надо было действовать быстро.	нет тяжёлый состояние тут действовать быстро
Даже скорую не стали ждать. -Хозяева запретили вызывать скорую.	даже скорый стать ждать хозяин запретить вызывать скорый
Приказали избавиться от тела. Просто те не смогли. Если узнают,	приказать избавиться тело просто тот смочь если узнать
что на стройке произошел несчастный случай, то начнется расследование.	стройка произойти несчастный случай начаться расследование
А у них рабочие - нелегалы. Проще в бетон. Кто их будет искать?	а рабочий нелегал простой бетон кто искать
И никто тебе ничего не расскажет, потому что все боятся.	и никто ты рассказать бояться
-Ну, может, и так. А может... -Не может.	ну мочь так а мочь не мочь
-Да что с тобой такое, а? Ты же у нас кремень.	да ты такой а ты кремень
Искать надо, понимаешь? Искать.	искать надо понимать искать
ТРЕВОЖНАЯ МЕЛОДИЯ	тревожный мелодия
-Паспорт ее дайте. -Угу.	паспорт дать угу
-Она не беременна? -Да нет. Не должна. Я не знаю.	она беременный да нет не должный я знать
-Ну, как мы? Голова кружится? -Угу.	ну мы голова кружиться угу
-Вы потеряли сознание. Это спазм сосудов головного мозга.	вы потерять сознание это спазм сосуд головной мозг
Давление резко упало. Вы не беременны?	давление резко упасть вы беременный
-Не-а. -А то муж ваш испугался.	неа а муж ваш испугаться
-Я не муж. -Он не муж.	я муж он муж
-Питаться ей надо лучше. Икры женщине купите.	питаться хороший икра женщина купить
"-Я сказал ""найду"" - значит, найду."	я сказать найти значит найти
-Я больше не могу. -Давай прыгай.	я мочь давать прыгать
-Нет. -Давай-давай.	нет давайдавать
-Сними меня, пожалуйста, быстрее. Сними.	снять я пожалуйста быстрый снять
-Что, страшно?	что страшно
-Что, когда свадьба? -Папа, ну чего ты? Это Антон.	что свадьба папа ты это антон
-Добрый вечер, Владимир Сергеевич. -Доброй ночи. Антон? Антон.	добрый вечер владимир сергей добрый ночь антон антон
-Папа, ну чего ты? Иди домой. Иди. Я приду через 10 минут.	папа ты идти домой идти я прийти 10 минута
Иди. Мама знает, что я у тебя ночую. -А я вот не знаю, что ты у меня	идти мама знать ночевать а знать
ночуешь. -Ладно, я побежал. Доброй ночи,	ночевать ладный побежалый добрый ночь
Владимир Сергеевич. -Давай.	владимир сергей давать
-Пока, Полина. -Пока.	пока полина пока
Папа, блин! -Чего?	папа блин что
-Ничего. -А чего это он устрекотал куда-то?	ничто а это устрекотать кудато
Так, давай садись в машину, я тебя к маме отвезу.	так давать садиться машина мама отвезти
-Я у тебя останусь. -К маме поедешь. У меня дела.	я остаться к мама поехать у дело
-Дела у тебя? -Так, положи, садись.	дело ты так положить садиться
-Ты Антон? -Да.	ты антон да
-Я от Вики. Вика просила сумку передать тебе.	я вика вика просить сумка передать ты
-Сама она где? -Она задерживается.	сам где она задерживаться
-Пап! -Я понял: соскучилась, решила	папа я понять соскучиться решить
навестить отца родного. -Пап, мне нужен совет. Взрослый.	навестить отец родной папа нужный совет взрослый
-Ну давай.	ну давать
-Может ли мужчина просто так дружить с женщиной?	мочь мужчина просто дружить женщина
Ну, без всяких там мыслей? -Без каких мыслей?	ну всякий мысль без какой мысль
-Ну... дурацких.	ну дурацкий
Понятно. Ты в этом не разбираешься. Ну Антон тебе понравился?	понятно ты разбираться ну антон ты понравиться
-Нет.	нет
Так, все, давай выплескивайся.	так весь давать выплёскиваться
-Сержант Абдурахманов. Сумка ваша? -Да, моя.	сержант абдурахман сумка ваш да мой
-А что внутри? Разрешите посмотреть? -Пожалуйста. Проблема какая-то?	а внутри разрешить посмотреть пожалуйста проблема какаять
-Журнал. Две штучки. Глянцевый. Одежда женская какая-то.	журнал два штучка глянцевый одежда женский какаять
-Аккуратнее.	аккуратный
-Пакет. Там внутри белый порошок.	пакет там внутри белый порошок
-В общем, понятно, что ничего непонятно.	в общий понятно непонятно
Если кто-то придет опознать или забрать тело - позвонишь. Хорошо?	если ктоть прийти опознать забрать тело позвонить хорошо
-Позвоню. Только кто его заберет? Охранная грамота и то на другое имя.	позвонить только забрать охранный грамота другой имя
-Какая охранная грамота? -Ну вот, бумажка.	какой охранный грамота ну вот бумажка
