cleaned_text	lemm_text
А можно сделать что-нибудь по имени?	а сделать чтонибыть имя
К сожалению, нет. Извините.	к сожаление нет извинить
- Две куриных ножки. - Две ножки.	два куриный ножка два ножка
- А что у вас на десерт? - Салат из свежих фруктов.	а десерт салат свежий фрукт
- А еще что? - Больше ничего.	а что большой ничто
Тода два салата.	тода салат
Держи бобы вот так.	держать боб так
Затем, разрежь их на три или четыре кусочка.	затем разрезать четыре кусочек
Упорно стой на своем, мой несмышленый малыш.	упорно стоять свой несмышлёный малыш
Вспомни Альберта Либертада. (фр. анархо-индивидуалист, инвалид)	вспомнить альберт либертад фр анархоиндивидуалист инвалид
Во времена Изящной Эпохи,	в время изящный эпоха
этот скандально-известный маленький калека,	скандальноизвестный маленький калека
произвел революцию во всем своем мире.	произвести революция весь свой мир
Хромая на своих костылях, он без приглашения ходил	хромать свой костыль приглашение ходить
на различные политические собрания и мероприятия.	различный политический собрание мероприятие
Поднимался на подиумы, выходил на трибуну	подниматься подиум выходить трибуна
и своими костылями, он ловко сбивал с ног любого,	свой костыль ловко сбивать нога любой
кто пытался вышвырнуть его оттуда.	пытаться вышвырнуть оттуда
Он даже призывал к дезертирству!	он призывать дезертирство
Он пел на улицах,	он петь улица
а также на конференциях, где побуждал прекратить бесполезную деятельность.	также конференция побуждать прекратить бесполезный деятельность
Он сжигал любое удостоверение личности, которое попадало в его руки.	он сжигать любой удостоверение личность который попадать рука
Он неожиданно поднимался в церквях,	он неожиданно подниматься церковь
прямо посреди мессы	прямо посреди месса
"и назвал священников у алтаря - ""мешками с дерьмом"","	назвать священник алтарь мешок дерьмо
"а верующих, стоящих на коленях - ""ослами""."	верующий стоящий колено осёл
Он разрушал кладбища,	он разрушать кладбище
и громко проповедовал против,	громко проповедовать против
почитания мертвых и культа мертвого мяса.	почитание мёртвый культ мёртвый мясо
Он высмеивал консервативный буржуазный брак,	он высмеивать консервативный буржуазный брак
сожительствуя с монашками.	сожительствовать монашка
Да здравствует Альберт Либертад!	да здравствовать альберт либертад
Месье?	месье
- Солидарность между байкерами. - Нет.	солидарность байкер нет
Могу подать тебе 3 или 4 евро.	мочь подать ты 3 4 евро
50! - У меня нет столько. 50 евро! - У меня нет 50-ти евро.	50 у столько 50 евро у 50ть евро
Месье, извините, можно вас спросить?	месье извинить спросить
Бессердечный идиот. Ты никогда не знал ни голода ни холода.	бессердечный идиот ты знать голод холод
- Дайте мне уйти! - Ты кусок дерьма!	дать уйти ты кусок дерьмо
Отдай мне твои деньги!	отдать твой деньга
- Придурок! - Помогите!	придурок помочь
Помогите!	помочь
- Я могу помочь вам? - Да, пожалуйста.	я мочь помочь вы да пожалуйста
- Что мне конкретно сделать? - Тяните.	что конкретно сделать тянуть
- Помогите! - Он нарочно это делает.	помочь он нарочно это делать
- Кто нарочно делает? - Он.	кто нарочно делать он
Зацепился вот здесь...	зацепиться здесь
Знаете, а он ведь жмет на тормоз.	знаете жать тормоз
Он на тормоз нажал. И как мы сможем...?	он тормоз нажать и смочь
- Я уже устала. - Помогите!	я устать помочь
Месье... Пожалуйста, помогите мне. Спасибо.	месье пожалуйста помочь я спасибо
- Ну, что сделаешь против его воли... - Тогда поговорите с ним.	ну сделать против воля тогда поговорить он
- Я его не знаю. - А вы думаете, я знаю?	я знать а думать знать
Ну и что теперь делать?	ну делать
Извините Месье. Можно вас спросить?	извинить месье можно спросить
- Пожалуйста. - Эта улица...	пожалуйста этот улица
Ты кусок дерьма!	ты кусок дерьмо
Ты когда - нибудь испытывал голод или холод?	ты испытывать голод холод
Зачем вы это делаете?	зачем это делать
- Ты когда - нибудь замерзал или голодал? - Да.	ты замерзать голодать да
Ну и?	ну и
- Ничего. - И у меня я также.	ничто и также
Аренда - 2 евро.	аренда 2 евро
Убирайтесь-ка вы с дороги! У меня тромб.	убирайтеська дорога у тромб
Мне нужно сделать укол.	я нужно сделать укол
У меня там тромб, понимаете?	у тромб понимать
Тетушка Роберта? О, у нее все прекрасно.	тётушка роберт о прекрасно
Она в порядке. Простите. Я хотел сказать, что она умерла. Так или иначе...	она порядок простить я хотеть сказать умереть так иначе
Она действительно умерла.	она действительно умереть
Но зато тетя Ольга не сдается.	но зато тётя ольга сдаваться
Что?	что
Тетя Люси, тетя Люси... Да, да, да...	тётя люси тётя люси да да да
- И что?	и что
Она мать моей племянницы Мишель.	она мать мой племянница мишель
Что бы там ни было, теперь я вспомнил все, что произошло в Конго.	что быть вспомнить весь произойти конго
"Они махали ""Bwana, bwana!"" (""мистер"", ""cэр"" - суахили)."	они махать bwana bwana мистер cэр суахили
Вы знаете, я чувствовал себя некоторое время...	вы знаете чувствовать некоторый время
- Осторожнее.	осторожный
как будто я был Папой римским в своем папамобиле. Понимаете о чем я?	папа римский свой папамобила понимать я
И я махал как дурак.	и махать дурак
Я помню как вы впервые сами помочились.	я помнить впервые сам помочиться
Я помню очень, очень хорошо	я помнить очень очень
как вы учились мочиться. Это было невероятно.	учиться мочиться это невероятно
Прямо вперед.	прямо вперёд
И.. Что я говорил? Было удивительно то,	и что говорить быть удивительно то
что они жили в деревнях,	жить деревня
в кустарнике, подобно этому.	кустарник подобно это
Чем они занимались, мм...	чем заниматься мм
Здесь на право.	здесь право
На право. Осторожнее.	на право осторожный
"Я въезжал в деревню и все дети выбегали и кричали ""Bwana, bwana!"""	я въезжать деревня ребёнок выбегать кричать bwana bwana
Как будто я был Папой римским в своем папамобиле.	как папа римский свой папамобила
Это было невероятно.	это невероятно
И я махал им словно идиот.	и махать словно идиот
Затем, что-то случилось...	затем чтоть случиться
- Точно, я осознал это... - Поверни направо.	точно осознать это повернуть направо
Видя нас такими...	видеть такой
Осторожно. Хорошо.	осторожно хорошо
Видя нас...	видеть мы
следующими из одного края горизонта к другому,	следующий один край горизонт другой
они думали, что мы спустились с небес.	думать спуститься небо
Далеко еще, до вашего проклятого места?	далеко ещё ваш проклятый место
Вы говорили...	вы говорить
Мне нужно поставить укол.	я нужно поставить укол
- Еще немного прямо. - Прямо.	ещё немного прямо прямо
- Прямо и направо. - Почти приехали.	прямо направо почти приехать
Отлично. Поскольку, вы знаете...	отлично поскольку знаете
все эти воспоминания...	воспоминание
Это ведь удивительно, что их мы помним.	это удивительно помнить
И это замечательно в дороге. Не так ли?	и это замечательный дорога не ли
Вперед! Давай!	вперёд давать
Отлично.	отлично
Джереми, ты знаешь, почему черные люди не устраивают мотокросс?	джереми знаешь почему чёрный человек устраивать мотокросс
Потому что, когда они подпрыгивают, они остаются на деревьях.	потому что подпрыгивать оставаться дерево
Поцелуй меня. Поцелуй своего папу!	поцелуй я поцелуй свой папа
Вот это мотокросс!	вот это мотокросс
- А где Пишон? - Вон там. (фр. гонщик, чемп. мира)	а пишон вон там фр гонщик чемп мир
И кто был на первом месте?	и первое место
Эвертс! А кто такой Эвертс? Чемпион...?	эвертс а эвертс чемпион
70-ти кратный чемпион мира (Бельгия).	70ть кратный чемпион мир бельгия
Ты это представляешь Джереми? 70-ти кратный!	ты это представлять джереми 70ть кратный
А вместе со своим отцом они выиграли 90 раз.	а вместе свой отец выиграть 90 раз
Вместе, они были чемпионами мира 90 раз.	вместе чемпион мир 90 раз
Нет, месье, вы ошибаетесь.	нет месье ошибаться
- Чего? - Я сказал - вы ошибаетесь.	что я сказать ошибаться
- Как так? - Не слушай своего отца.	как так не слушай свой отец
Эвертс, был шесть раз чемпионом мира.	эвертс шесть чемпион мир
А его отец дважды. Получается всего восемь.	а отец дважды получаться восемь
- А я что говорил?	а говорить
 Девяностократный чемпион.	девяностократный чемпион
Извините меня месье, но у мотокросса есть история.	извинить месье мотокросс история
Слушай сюда, супермен.	слушай сюда супермен
ТО, что ты калека, не означает, что тебе можно раскрывать пасть!	то калека означать ты раскрывать пасть
- Да ладно Пап. - Все в порядке, Джереми.	да ладный папа весь порядок джереми
Да.	да
Тебе повезло, что я здесь с сыном.	ты повезти сын
Знаешь что Джереми? Давай пойдем в бар.	знаешь джереми давать пойти бар
Мы ведь это можем.	мы это мочь
Можем пойти, можем вернуться сходить и вернуться...	мочь пойти мочь вернуться сходить вернуться
столько, сколько захочется.	столько сколько захотеться
Хочешь там побегать, Джереми?	хотеть побегать джереми
- О, как я люблю свои ноги. - Ублюдок.	о любить свой нога ублюдок
Парни, вы не можете здесь оставаться. Не загораживайте. Давайте отъезжайте.	парень мочь оставаться не загораживать давать отъезжать
Кто это?	кто это
Это Джоел Роберт. (бельг. чемпион)	это джоесть роберт бельга чемпион
- Ну как? - Здорово.	ну как здорово
- А где мой бутерброд? - Я достал нечто получше. Смотри.	а бутерброд я достать нечто хороший смотреть
"Тест-драйв мотоцикла ""Husqvarna Automatic""."	тестдрайв мотоцикл husqvarna automatic
Единственный в истории мотокросса. 1982.	единственный история мотокросс 1982
Тебе не понадобятся, ноги, чтобы поехать на нем.	ты понадобиться нога поехать немой
