cleaned_text	lemm_text
Кока-колу, пожалуйста.	кокакола пожалуйста
Как жизнь?	как жизнь
Хорошо.	хорошо
У меня ужасный французский.	у ужасный французский
Ты немного говоришь по-английски.	ты немного говорить поанглийски
Уже поздно, мы уходим.	уже поздно уходить
Ты идёшь?	ты идти
Приводи его в лагерь.	приводить лагерь
Корабль?	корабль
Корабль?	корабль
Я не люблю военных.	я любить военный
Пожалуйста. Это бесплатно.	пожалуйста это бесплатно
Что случилось?	что случиться
Я спала с американцем.	я спасть американец
Ты расскажешь Люку?	ты рассказать люк
Я даже не поняла, что делаю.	я понять делать
- Боишься, что он разозлится? - Конечно.	бояться разозлиться конечно
Я сыта по горло.	я сытый горло
Это он.	это он
- Хочешь, чтобы я ушла? - Нет, нет.	хотеть уйти нет нет
- Поздороваешься? - Не могу.	поздороваться не мочь
Он меня видел. Мог бы подойти, если бы хотел.	он видеть мочь подойти хотеть
- Возможно он не решается. - Нет, он всё понимает.	возможно решаться нет весь понимать
Ублюдок притворяется, что не видит меня.	ублюдок притворяться видеть я
- Я бы подошла к нему. - Нет.	я подойти он нет
- Тогда бы ты всё поняла. - Нет, мне противно.	тогда весь понять нет противно
Меня это бесит.	я это бесить
Помотри на это ничтожество.	помотереть это ничтожество
Пошли.	послать
Это было потрясающе, когда он поцеловал меня.	это потрясающе поцеловать я
Я забыла, где я нахожусь и что делаю	я забыть находиться делать
Не могу объяснить. Все произошло так быстро.	не мочь объяснить весь произойти быстро
"Когда всё закончилось, он сказал - ""Большое спасибо."""	когда весь закончиться сказать большой спасибо
Знаешь, что я ответила?	знаешь ответить
Будешь смеяться, но это не смешно.	быть смеяться это смешно
"Я ответила - ""Пожалуйста. Это бесплатно."""	я ответить пожалуйста это бесплатно
- А он понял? - Думаю, да. Надеюсь.	а понять думать да надеяться
- Ты жалеешь? - Нет, но это отвратительно.	ты жалеть нет это отвратительный
Если бы твой отец увидел меня здесь?	если твой отец увидеть здесь
<i> Не знаю. Он был бы смущен. </i>	i не знать он смутить i
Но он бы рассказал матери.	но рассказать матерь
Она не признаётся, но она ненавидит меня.	она признаваться ненавидеть я
Это не так.	это так
Она спокойна, как и я спокоен по поводу неё.	она спокойный спокойный повод она
- Тебя не волнует её любовник? - Я должен переживать?	ты волновать её любовник я должный переживать
-Она не ребёнок. - Нет, конечно...	она ребёнок нет конечно
Ты видела, какая она толстая?	ты видеть толстой
Прекрати.	прекратить
И тоже буду такая в её возрасте.	и быть такой её возраст
Ну, она ещё неплохо выглядит.	ну ещё неплохо выглядеть
Странно.	странно
Но я не могу представить своих родителей не вместе.	но мочь представить свой родитель вместе
- Почему? - Не знаю.	почему не знать
Я не могу вообразить их живущими раздельно.	я мочь вообразить жить раздельно
Даже до того, как они встретились. Вроде, как брата и сестру.	даже тот встретиться вроде брат сестра
Вероятно, звучит дико.	вероятно звучать дико
Но отец уже не хочет возвращаться в Польшу.	но отец хотеть возвращаться польша
Он был там слишком несчастлив.	он слишком несчастливый
А сейчас даже забыл язык.	а забыть язык
А где они встретились?	а встретиться
