cleaned_text	lemm_text
Помоги.	помочь
- И потом ко мне. - Хорошо, зайду.	и к я хорошо зайти
- Ну, будь. - Всего хорошего.	ну быть всего хороший
- Не умеет отдыхать Петров.	не уметь отдыхать петров
Молодец.	молодец
- Ненормальный.	ненормальный
- Будь моя воля,	быть воля
я бы только такими ненормальными как Петров	такой ненормальный петров
укомплектовывал штаты.	укомплектовывать штат
Давайте работать.	давать работать
Когда ж еще работать	когда работать
как не у выходные дни.	выходной день
Их два подряд.	они подряд
Нормальные в эти дни наверняка не помешают,	нормальный день наверняка помешать
а ненормальных,	ненормальный
к сожалению,	сожаление
не так уж много.	много
- Опасный спуск.	опасный спуск
- Да что вы?	да вы
- И здесь	и
все ездят.	ездить
Здесь гораздо ближе	здесь гораздо близкий
чем по шоссе.	шоссе
Я вам сейчас покажу.	я показать
Здесь совершенно безопасно.	здесь совершенно безопасно
Ну,	ну
заводите машину, заводите.	заводить машина заводить
Я вам заплачу, ну.	я заплатить ну
Езжайте за мной, за мной, за мной.	езжать я я я
- Вот она, вот она.	вот она она
Вот она, стойте.	вот она стоять
Остановитесь.	остановиться
- Это душ.	это душа
- Боже, вы подумайте, какая прелесть, а?	бог подумать прелесть а
- Поживее, нас	живой
правительство ждет.	правительство ждать
В темпе, милая, в темпе.	в темп милый темп
- Сейчас.	сейчас
- Какой здесь воздух удивительный, правда?	какой воздух удивительный правда
- Точно, чистый.	точно чистый
- Минуточку.	минуточка
- Я хочу на участке посадить липы.	я хотеть участок посадить липа
- Ну, что.	ну что
Можно и липы.	можно липа
- А может лучше вязы?	а вяз
- Можно и вязы, только	можно вяз
вязы долго растут.	вяз долго расти
- 50 лет. - Ничего, ничего.	50 год ничто ничто
Мы теперь проживем 100 лет.	мы прожить 100 год
Вы чувствуете	вы чувствовать
какой здесь воздух, да?	воздух да
Вдыхайте, вдыхайте.	вдыхать вдыхать
- Ну, липу мы вам	ну липа
сделаем.	сделать
Привезем из питомника,	привезти питомник
а вот вязов там нету.	вязовый нету
Есть елки.	есть ёлка
- Елки?	ёлка
- Совершенно замечательно. У забора мы посадим елки.	совершенно замечательный у забор посадить ёлка
- Можно елки. - А вот	можно ёлка а
здесь можно посадить	посадить
пионы. - Можно и пионы.	пион можно пион
Только лучше огурцы.	только огурец
- Да?	да
- Соленые. - Точно, солененькие огурчики.	солёный точно солёненький огурчик
- Эх ты,	эх ты
пьянчуга. - Чего пьянчуга, я же про закуску говорил.	пьянчуга что пьянчуга закуска говорить
- А рамы у вас есть?	а рама есть
Я хочу...	я хотеть
- Есть у нас рамы.	есть рама
- Есть.	есть
- Я хочу...	я хотеть
вот...	вот
вот это всё	это весь
вырезать	вырезать
и вставить в раму.	вставить рам
И у нас тут будет балкон.	и балкон
- Можно и балкон.	можно балкон
- Ой!	ой
Если бы вы знали, какой отсюда	если знать отсюда
вид...	вид
Совершенно	совершенно
замечательный.	замечательный
Да.	да
А кирпич	а кирпич
для камина вы можете достать?	камин мочь достать
- Камин дрова жрет.	камин дрова жрать
Вам лучше печка.	вы печка
Нам на стройку завезли.	мы стройка завезти
- Точно. - Ну вот,	точно ну вот
крышу разберем, печку	крыша разобрать печка
поставим. - Сколько?	поставить сколько
Стоит.	стоить
- Три бумаги.	три бумага
- Ой!	ой
Так дорого?	так дорого
- Ну знаете, импортная печка, полимитом	ну знаете импортный печка полимитом
