cleaned_text	lemm_text
СУБТИТРЫ: И.КИРИК, К.ФРЕГЕР, Е.МАСЛЕННИКОВА, А.СОЛОНИЦКИЙ	субтитр икирика кфрегера емасленников асолоницкий
-Ну? Что? -Ничего пока.	ну что ничто пока
-О, приехала.	о приехать
-Добрый день! Вас ожидают? Проходите.	добрый день вы ожидать проходить
-Давай фотографируй. -Угу.	давать фотографировать угу
-А с чего ты вообще взяла, что у них сегодня свидание?	а вообще взять сегодня свидание
-Каленый проанализировал. -Ах Каленый проанализировал?!	калёный проанализировать ах калёный проанализировать
Сама слышишь, что ты говоришь?	сам слышать говорить
-Давай отправляй.	давать отправлять
-Э-э...	ээ
Я забыла.	я забыть
Ну сейчас.	ну сейчас
-Здравствуйте, Зоя Филипповна, здравствуйте, Катенька.	здравствовать зоя филипп здравствовать катенёк
-Здравствуйте, Зоя Филипповна! -Добрый день.	здравствовать зоя филипп добрый день
-Видал, как она мне кивнула? Горгона! -Н-да, видал... Ты проиграла дело.	видать кивнуть горгон нда видать ты проиграть дело
СИГНАЛ МОБИЛЬНОГО	сигнал мобильный
"-""Этого мало. У вас полчаса""."	это мало у полчаса
"-Я что, должен подойти и сказать: ""Жизнь коротка,"	я что должный подойти сказать жизнь короткий
"давайте быстрее совокупляйтесь""? -Ну не знаю."	давать быстрый совокупляться ну знать
-Они телепаты - мои мысли прочитали.	они телепат мой мысль прочитать
На, расплатись. -Телефон не забудь.	на расплатиться телефон забыть
-Добрый день!	добрый день
-Это кто такая? -Незнакомое лицо.	это такой незнакомый лицо
-Здрасте. -Здрасте.	здравствовать здравствовать
-Я сейчас уйду. Говорите что-нибудь,	я уйти говорить чтонибыть
делайте вид, что вы мне рады. Этот чувак меня не любит.	делать вид рад этот чувак любить
-Какой? -Ну который у двери стоит.	какой ну который дверь стоить
Не смотрите на него! -Почему?	не смотреть он почему
-Ну я три дня назад грозился его уволить: он мне не разрешил	ну день назад грозиться уволить разрешить
танцевать на столе. -Вы пьяный?	танцевать стол вы пьяный
-Нет еще. Ну я могу в свой день рождения танцевать на столе?	нет ещё ну мочь свой день рождение танцевать стол
Вас как звать? -Я не знакомлюсь в кафе.	вы звать я знакомиться кафе
-Я тоже. СТУК В ОКНО	я тоже стук в окно
-Все, я ухожу. До свидания. -А-а... Ну, если так, то да.	весь уходить до свидание аа ну так да
-Друзья мои, коллеги, тут есть вот такая фотка... Посмотрите.	друг мой коллега такой фотка посмотреть
Вот так лучше. Видите? Вот.	вот хороший видеть вот
Ну? Нравится?	ну нравиться
Я спрашиваю, фотка нравится? Эротическая.	я спрашивать фотка нравиться эротический
-Впечатлило? -А?	впечатлить а
Я уверен, что коллеги готовы обсуждать наши условия.	я уверенный коллега готовый обсуждать наш условие
-Я бы за леопардовое белье лет на пять сажала.	я леопардовый бельё год пять сажать
-Я бы просто давал условный и освобождал в зале судебных заседаний.	я просто давать условный освобождать зал судебный заседание
ГОВОРИТ ПО ТЕЛЕФОНУ НА СВОЕМ ЯЗЫКЕ	говорить по телефон на свой язык
-Все нормально? Салам аллейкум! -Аллейкум ас-салам!	весь нормальный сало аллейкума аллейкума ассало
Да детишки. В гости хотят. -Давно пора.	да детишки в гость хотеть давно пора
Их можно ко мне закинуть. -Ты чего хотел-то?	они к закинуть ты хотёлтый
-Так Нинка сегодня к часу придет, гонорар наш принесет.	так нинка сегодня час прийти гонорар наш принести
-Отлично! -Не забудь, надо маскировочный	отлично не забыть маскировочный
костюм сдать. -Сдадим.	костюм сдать сдать
-Весной-то как уже пахнет, а!	веснойтый пахнуть а
Ну хотя, конечно, у тебя тут...	ну хотя конечно тут
-Так, Володя, это тебе...	так володя это ты
Мавлюда, это тебе. -Спасибо большое.	мавлюда это ты спасибо большой
