cleaned_text	lemm_text
СУБТИТРЫ: О.КУЛАГИН, О.СУСЛИНА, Ю.КАРАВАН, А.СОЛОНИЦКИЙ	субтитр окулагин осуслина юкараван асолоницкий
-Ничего себе! Это ваша дыня так пахнет? Откуда у вас зимой	ничто себя это ваш дыня пахнуть откуда зимой
в Ташкенте дыни?	ташкент дыня
-А дыни хорошо в сухом песке сохраняются.	а дыня сухой песок сохраняться
-Нравится в Москве? Спроси, нравится ей в Москве?	нравиться москва спросить нравиться москва
-Говорит, в кишлаке лучше. Природа. -Я тоже природу больше люблю.	говорить кишлак хороший природа я природа любить
Я рыбак. Рыбак. Скажи ей, какую рыбу ловлю.	я рыбак рыбак сказать она какой рыба ловить
Щуку, леща - все тяну.	щука лещ тянуть
Скажи.	сказать
Мелочь не беру! Карпа иногда беру! -Ты что орешь?	мелочь брать карп брать ты орать
-А что? Громко? -Ну не глухая же она.	а что громко ну глухой она
НА РОДНОМ ЯЗЫКЕ	на родной язык
Пожалуйста. Гюльчехра, присаживайтесь.	пожалуйста гюльчехр присаживаться
Что у вас там?	что там
-Сколько ей уже?	сколько уже
-Откуда? Как Самир пропал, вы же тоже пропали.	откуда как самир пропасть пропасть
Я вам писала, но вы не отвечали.	я писать отвечать
-Возьмите. -Спасибо.	взять спасибо
-Добрый день.	добрый день
Вот, сегодня немного.	вот сегодня немного
-С вас 236. -Вот, пожалуйста.	с 236 вот пожалуйста
-Не говорите ничего. Вы самая добрая. Мне нужна помощь.	не говорить ничто вы самый добрый я нужный помощь
-Наташа!	наташа
-Счастливо. -Наташа!	счастливо наташа
-Мама!	мама
-Вот. -Что?	вот что
-Прочитай. Я не вижу без очков.	прочитать я видеть очки
"-""Помогите. Нас держат в подвале. Они убьют моего ребенка""."	помочь мы держать подвал они убить мой ребёнок
-Ну вот.	ну вот
Что скажешь?	что сказать
Я жду. -За дыню я еще никогда не работал.	я ждать за дыня работать
-За две дыни.	за два дыня
-И что мне с ними делать? На рынке, что ли, загнать?	и они делать на рынок ли загнать
-Да. Хорошую цену дадут.	да хороший цена дать
-Ладно, давай, тащи сюда свою родственницу.	ладный давать тащить сюда родственница
-Гюльчехра - двоюродная сестра троюродного брата моего мужа.	гюльчехр двоюродный сестра троюродный брат мой муж
-Подожди. Она тебе никто, а я должен разбираться?	подождать она ты никто должный разбираться
-В смысле - никто? Она родственница.	в смысл никто она родственница
-Как, вы говорите, грузчик на нее смотрит?	как говорить грузчик смотреть
-С подозрением. -Он на нее так вот... как-то так...	с подозрение он вот както так
Это смешно, да? Смешно? Человек вопиет о помощи, а это - смешно?	это смешно да смешно человек вопиять помощь это смешно
-Простите, я просто представил, как этот грузчик... Можно записочку?	простить просто представить грузчик можно записочка
-Вы не волнуйтесь, мы разберемся. Тем более он... Как вы говорите?	вы волноваться разобраться тем он как говорить
Во... пие... -Вопиет.	в пий вопиять
"-Вопиет. Катя, запиши для меня, пожалуйста. ""Во-пи-ет""."	вопиять катя записать я пожалуйста вопиять
"-Через ""о"", Катя. -Скажите, о каком ребенке идет речь?"	через о катя сказать какой ребёнок идти речь
-Господи милостивый! О ее ребенке. Девчонка на сносях.	господь милостивый о ребёнок девчонка сноси
Вы понимаете, что сейчас надо бежать? Сейчас надо спасать.	вы понимать бежать сейчас спасать
Вы понимаете, что они сюда приезжают, эти люди, совершенно бесправные?	вы понимать сюда приезжать человек совершенно бесправный
Вы понимаете, что у них нет ни языка... и менталитет другой?	вы понимать язык менталитет другой
Вы это понимаете? Она мне открылась, потому что я располагаю к общению,	вы это понимать она открыться располагать общение
потому что я женщина открытая, добрая, у меня сердце открытое.	женщина открытый добрый сердце открытый
Будем реагировать? Не будем реагировать? Заявление напишу.	быть реагировать не быть реагировать заявление написать
Катя, дайте мне бланчик. Напишем.	катя дать бланчик написать
"""Идет шагает человек..."""	идти шагать человек
-Уважаемый, хозяйка где? -Там.	уважаемый хозяйка где там
-У себя? -Да.	у себя да
-Музыку выключи. -Хорошо.	музыка выключить хорошо
-Везде поют. Куда ни приедь... Ой, голова аж раскалывается!	везде петь куда приедь ой голова аж раскалываться
-19, 20... А где 21-я у нас?	19 20 а 21я мы
А вот у нас и 21-я. -Умарова, к тебе полиция.	а 21я умаров ты полиция
-Вообще-то Роза Каримовна я.	вообщеть роза карим я
-Так...	так
"""Дорогая мамочка, не беспокойся за меня. Живу хорошо."	дорогой мамочка беспокоиться я жить хорошо
Чинара Каримовна не дает в обиду. Коллектив у нас дружный.	чинар карим давать обида коллектив дружный
Деньги я кладу на карту в специальном банке.	деньга класть карта специальный банка
Так надо, они там сохраннее. И растет процент.	так надо сохранный и расти процент
"Потом я всю сумму привезу домой""."	потом сумма привезти домой
-Спроси, ей дочка деньги высылала? Она же вроде на заработки поехала.	спросить дочка деньга высылать она вроде заработок поехать
ПО-РУССКИ: Не присылала. Только письма.	порусски не присылать только письмо
-Нормально...	нормальный
Получается, вы русский знаете? И тут все время мне по ушам ездили?	получаться русский знаете и время ухо ездить
-Да нет, слушай, никто не говорил, что она не знает русский.	да нет слушай никто говорить знать русский
Ты просто просил переводить, и я переводила.	ты просто просить переводить переводить
-Нормально. А я в машине про рыбу впаривал...	нормальный а машина рыба впаривал
-Впаривал? -Угу, впаривал.	впаривал угу впаривал
"По-русски значит ""заливал""."	порусски значит заливать
-Это, значит, я змею на груди своей пригрела, да? Я думаю, что же она	это значит змея грудь свой пригреть да я думать
так быстро расчет взяла. Она, оказывается, на меня доносы катала?	быстро расчёт взять она оказываться донос катать
Если бы я знала, что она доносы пишет, никогда бы не дала расчета.	если знать донос писать дать расчёт
Никогда бы. Как тебя зовут? -Алексей.	никогда бы как звать алексей
-Ешь, Алексей. А то худой больно. Ешь, ешь.	есть алексей а худой больно есть есть
-Так, то есть девушку мы сегодня не увидим?	так девушка сегодня увидеть
-Мама, я тебе говорил, ненормальная эта Анка. Когда она сыр стащила,	мама ты говорить ненормальный этот анк когда сыр стащить
надо было гнать. -Ваня...	гнать ваня
Иди работай.	идти работать
Ну нет у меня людей! Нет у меня людей! Людей у меня нет!	ну человек нет человек человек нет
У меня сын Ваня. Видели? Да? И за грузчика, и за продавца,	у сын ваня видеть да и грузчик продавец
и за уборщицу. А у меня каждый день проверка - налоговая,	уборщица а каждый день проверка налоговый
санэпидемстанция... Кредиторки, вон, аренду повысили.	санэпидемстанция кредиторка вон аренда повысить
И еще продавцы доносы пишут. Дожили...	и продавец донос писать дожить
-Где девочка? -Какая девочка?	где девочка какой девочка
-Все та же.	весь тот же
-Виновата я. Я ее взяла без регистрации. Пишите штраф.	виноватый я я взять регистрация писать штраф
Оформляйте штраф. -Как, вы говорите, ее зовут?	оформлять штраф как говорить звать
-Кого? -Ну, девочку.	кто ну девочка
-Какую девочку? -Ну, всю ту, которая доносы пишет.	какой девочка ну тот который донос писать
-Анко Билябетдинова. Билябетдинова...	анко билябетдинов билябетдинов
-Что ж такое-то!	что такоеть
Каждый раз... одно и то же.	каждый раз один же
Все хотят законы обойти, да? Роза Каримовна, вот эти все угощения	весь хотеть закон обойти да роза карим угощение
мне ни к чему - я на диете. Нет, штраф вы, конечно, заплатите.	что диета нет штраф вы конечно заплатить
Но если еще раз попытаетесь нарушить миграционное законодательство	но попытаться нарушить миграционный законодательство
и взять на работу нелегала, вы сами лишитесь работы.	взять работа нелегал сам лишиться работа
-Виктор Владленович, обещаю, что последний раз. Но огурцы-то	виктор владлен обещать последний раз но огурцыть
