cleaned_text	lemm_text
- Почему нет? - Потому, что я теряю её вещи!	почему нет потому терять её вещий
Видите того слепого парня? Я раскрою ему череп потом.	видеть слепой парень я раскрой череп потом
Дове Джоуи, дове Джоуи?	дов джоуя дов джоуя
Мой величайший момент скоро. Величайший момент скоро.	мой великий момент скоро великий момент скоро
"А если бы ты сказал ""На дрове трава на творе двора"" она бы поняла разницу?"	а сказать на дров трава твор двор понять разница
Рейч! Что ты делаешь?	рейч что делать
О, я не могу на это смотреть. Это так страшно.	о мочь это смотреть это страшно
Это реклама подгузников.	это реклама подгузник
Да, ну ты же знаешь меня. Детки, ответственность...	да знаешь я детка ответственность
- Доставка пиццы. - Я заберу! Я заберу!	доставка пицца я забрать я забрать
Одна вегетарианская пицца. С вас 12.50.	один вегетарианский пицца с 1250
Кстати, может это тебе поможет...	кстати это ты помочь
...мне нравились восьмилетние мальчики.	я нравиться восьмилетний мальчик
Что?	что
А, ну... я... это... не-не...	а ну я это нен
Ваши волосы. До того. Волосы.	ваш волос до тот волос
Вы сказали, что ваша причёска, как у восьмилетнего мальчика...	вы сказать ваш причёска восьмилетний мальчик
...а я говорю, что она мне нравится.	а говорить нравиться
Причёска.	причёска
Спасибо.	спасибо
Понимаете, на самом деле мне не нравятся восьмилетние мальчики.	понимать самый дело нравиться восьмилетний мальчик
Мне от вас нужны только деньги.	я нужный деньга
На держи. Хватит приносить нам пиццы уже.	на держать хватить приносить мы пицца уже
Я постараюсь.	я постараться
Пожалуйста.	пожалуйста
Вот ты же не можешь мне позволить себе иметь её?	вот мочь позволить иметь её
Эта девушка мне очень нравится, а тебе обязательно надо влезть!	этот девушка очень нравиться ты обязательно влезть
Что?	что
Чендлер флиртовал с миленькой доставщицей.	чендлера флиртовать миленький доставщица
Спасибо тебе за это.	спасибо ты это
Я не флиртовал.	я флиртовать
Да нормально всё. Мне всё равно. Всё отлично.	да нормальный весь я весь равно весь отлично
Правда?	правда
Ничего особенного. Я всё время так делаю.	ничто особенный я весь время делать
Ты всё время флиртуешь с парнями?	ты весь время флиртовать парень
Конечно. Это же ничего не значит. Как и твои ничего не значат.	конечно это значит как твой значить
Всё-же разница есть. Ты намного красивее.	всёжа разница есть ты намного красивый
Это точно.	это точно
Чендлер, тебя это беспокоит?	чендлера это беспокоить
Да, беспокоит, и я думаю, это многих бы беспокоило.	да беспокоить думать это многий беспокоить
Рейч. Когда вы с Россом встречались...	рейч когда росс встречаться
...тебя беспокоило, когда он флиртовал с другими женщинами?	ты беспокоить флиртовать другой женщина
Нет, меня забеспокоило, когда он переспал с другой женщиной.	нет забеспокоить переспать женщина
А за это тебе спасибо.	а это ты спасибо
Мне никогда не надо было волноваться.	я волноваться
Росс никогда не был силён во флирте.	росс силённый флирт
О чём это ты говоришь? С тобой-то сработало.	о что это говорить с тобойтый сработать
Нет, ты прав.	нет право
Мы встретились, ты флиртанул, и - бам! Через девять лет - я с тобой!	мы встретиться флиртанула бам через девять год ты
Хорошо.	хорошо
Знаешь, что я сделаю? Я закажу ещё одну пиццу.	знаешь сделать я заказать ещё один пицца
А когда Кейтлин придёт сюда...	а кейтлина прийти сюда
...я покажу вам, как хорошо я флиртую.	я показать вы флиртовать
Я достану её номер телефона.	я достать её номер телефон
И совсем не тот, что написан в меню.	и тот написать меню
- Я нашла её. - Слава богу! Где она была?	я найти её слава бог где быть
На твоём столике.	на твой столик
Так, это как раз та, что уже была.	так это тот быть
Вот мой момент. Мой великий момент уже.	вот момент мой великий момент уже
- Спорим, никто ничего не слышал? - Не спорим.	спорить никто слышать не спорить
Есть кто дома?	есть дом
- О, боже мой. - Что?	о бог мой что
Все улыбаемся. Это убьёт мою бабушку, если она узнает.	весь улыбаться это убить мой бабушка узнать
Что такое?	что такой
Меня вырезали из передачи.	я вырезать передача
Что?	что
- Ты уверен? - Может твой момент ещё будет.	ты уверенный мочь твой момент ещё быть
Не похоже. Потому, что видите тот мешок с трупом?	не похоже потому видеть мешок труп
Я в нём.	я он
Это ужасно. Что будешь делать?	это ужасно что быть делать
Я не знаю. Эта маленькая старушка живёт ради моей карьеры.	я знать этот маленький старушка жить ради мой карьера
"Когда меня убрали из ""Дней моей жизни"", она чуть не умерла."	когда убрать день мой жизнь умереть
Это не хорошо.	это хорошо
Ты не лыбишься. Только не лицом! Все улыбаемся!	ты лыбиться только лицо весь улыбаться
Джоуи, расскажи ей что произошло. Это же не твоя вина.	джоуя рассказать произойти это твой вино
Если мы будем дальше разговаривать таким образом, она скоро не испугается?	если быть далёкий разговаривать такой образ скоро испугаться
Куан до чи дель куальке дель соле?	куан чи дель куалька дель соля
Скоро. Я скоро буду.	скоро я скоро быть
Вот он я!	вот я
Сэм Уотерстон!	сэм уотерстон
Нет, нет. Это я. Это я!	нет нет это я это я
Нет. Сэм Уотерстон.	нет сэм уотерстон
Преступные нарушения, Каприкорн один.	преступный нарушение каприкорн один
"Она не может сказать ""здрасьте"", но знает Каприкорн один."	она сказать здравствовать знать каприкорн один
