cleaned_text	lemm_text
не ел. Ну, может, борща пару половников.	есть ну мочь борщ пара половник
-Так вы стюардессой работаете?	так стюардесса работать
-Проводницей. Москва - Днепропетровск - Феодосия.	проводница москва днепропетровск феодосий
ОТКРЫВАЕТСЯ ДВЕРЬ Вова! А вот Виктор говорит,	открываться дверь вова а виктор говорить
что собаку надо выгуливать в наморднике и на поводке.	собака выгуливать намордник поводок
-И что, намордник от пули защитит?	и что намордник пуля защитить
-А что искать-то? -Женя, ты не выеживайся.	а искатьто женя выеживаться
Задание выполняй.	задание выполнять
Следы ищи. -А если кого-то подозрительного	след искать а коготь подозрительный
заметил? -Где?	заметить где
-Вот.	вот
На Юго-Западной лет пять назад такой же случай был. Псих из мелкашки	на югозападный год пять назад случай быть псих мелкашка
из окна своей квартиры по собакам стрелял. На фига стрелку на крышу	окно свой квартира собака стрелять на фига стрелка крыша
лезть? По квартирам надо искать. -Каленый считает, что стреляли	лезть по квартира искать калёный считать стрелять
с крыши. -Ну тогда понятно, что такой кипеж.	крыша ну понятно кипёж
-Как мне закрыть дверь? Зачем спилили замок?	как закрыть дверь зачем спилить замок
-Скажи, что действовал в интересах государства, тебя приютившего.	сказать действовать интерес государство приютить
-Как мне закрыть дверь? -Вали все на Рукавицына.	как закрыть дверь валить рукавицын
-Во-во.	вовый
-Ну что, поехала?	ну что поехать
-Скучать-то будешь? -Ну конечно, буду.	скучатьто быть ну конечно быть
Шапку не забудь, а то там холодно. -До свидания.	шапка забыть холодный до свидание
-Спасибо большое. До свидания.	спасибо большой до свидание
Ага, хорошо.	ага хорошо
-Ты на поезд не опоздаешь?	ты поезд опоздать
-До свидания. -Спасибо большое!	до свидание спасибо большой
Все было очень вкусно. -Да на здоровье.	весь очень вкусно да здоровье
-Ну, все, давай, пока, до связи.	ну весь давать пока связь
Ну что, чердаки и крыши мы осмотрели - все чисто.	ну что чердак крыша осмотреть чисто
Хозяйка таксы говорит, что никаких конфликтов у нее не было,	хозяйка такса говорить никакой конфликт быть
никто не угрожал. Что, вареники надоели? По плову соскучился?	никто угрожать что вареник надоесть по плов соскучиться
-Ты что пришел?	ты прийти
-Стрелка мы ищем, но ты сам понимаешь, дело это небыстрое,	стрелка искать понимать дело это небыстрый
а собачники твои - люди нервные, впечатлительные.	собачник твой человек нервный впечатлительный
-Ну и? -Ну... Хочу о помощи тебя попросить.	ну и ну хотеть помощь попросить
Володя, немножко как-то успокоить их. Не надо лишней информации	володя немножко както успокоить они не лишний информация
про мелкашку. Не надо бужировать ситуацию.	мелкашка не бужировать ситуация
-Ищи стрелка, майор. Хорошо ищи.	искать стрелка майор хорошо искать
СОБАКА ЛАЕТ	собака лаять
-Не бойтесь! Не бойтесь, он не кусается.	не бояться не бояться кусаться
-Собаку на поводке нужно водить и в наморднике! Правила есть!	собака поводок нужно водить намордник правило есть
-Извините. Но он не кусается. -Уберите собаку!	извинить но кусаться убрать собака
-Мой мальчик, иди ко мне! Гулять, гулять!	мой мальчик идти к я гулять гулять
-Вот зачем вы собаку выпускаете в такое время?	вот собака выпускать такой время
-А я фаталист. Пиночет, гулять. -А вот не надо таким легкомысленным	а фаталист пиночет гулять а такой легкомысленный
быть, потому что не первый случай уже.	быть один случай уже
-Так вы мне рассказывали, что уже убили двух бродячих собак.	так рассказывать убить два бродячий собака
-Ляля и Хобот. Их застрелили. Возле продуктового буквально.	ляля хобот они застрелить возле продуктовый буквально
Я вам покажу место захоронения. -Зачем?	я показать место захоронение зачем
-Как? Для эксгумации. Потому что нужно изъять пули. Нужно изъять	как для эксгумация потому нужно изъять пуля нужно изъять
пули и их сравнить. Милиция ничего не делает, а вы должны же...	пуля сравнить милиция делать должный же
-Валентина Никоновна... -Никоновна.	валентин никон никон
-Полиция знает, что ей делать. Не нагнетайте ситуацию.	полиция знать делать не нагнетать ситуация
И пуля от мелкашки не идентифицируется.	и пуля мелкашка идентифицироваться
-Что? -То. Пиночет, ты где?	что то пиночет где
Пошли!	послать
ЗОВЕТ СВИСТОМ	звать свист
Пиночет!	пиночет
Ты где, Пиночет?!	ты где пиночет
Пиночет!	пиночет
Это что такое? Ну-ка, иди сюда.	это такой нук идти сюда
Иди сюда.	идти сюда
Сидеть.	сидеть
Сидеть.	сидеть
Сидеть.	сидеть
Ну? Где ты ходишь? Объясни мне, где ты ходишь!	ну где ходить объяснить я ходить
Что ты жрешь все время?!	что жрать время
Я тебя все время должен искать, что ли?! Фаталист собачий! Иди домой!	я время должный искать ли фаталист собачий идти домой
Морда!..	морда
Так...	так
А! Чего?	а что
Все, ты на улице ел. Все, иди. На место!	весь улица есть весь идти на место
ПОСКУЛИВАЕТ	поскуливать
Все, место!	весь место
Ах, колбаска какая! Мм! Не получишь, понял?	ах колбаска какой мм не получить понять
"Чего ""ав""?"	что ава
Все, все, иди на место.	весь весь идти место
Вот так, брат.	вот так брат
ЗВОНОК В ДВЕРЬ	звонок в дверь
О, здорово. Чего?	о здорово что
-Просили передать.	просить передать
-И что мне?.. Пожарить?	и я пожарить
-Сказали, ты сам решишь. -Кто сказал?	сказать решить кто сказать
"-Ну... дворник у пятого дома убирал и нашел. Говорит: ""Не говори,"	ну дворник пять дом убирать найти говорить не говорить
