cleaned_text	lemm_text
Насчёт соседнего дома ничего не слышно?	насчёт соседний дом слышный
Его какие-то ребята сняли.	он какиеть ребята снять
- Здорово. - А много их?	здорово а они
- Шестеро. - Будет с кем пообщаться.	шестеро быть кто пообщаться
<i>Не сиди, не сиди</i>	iне сидеть сидиi
<i>без трусов в кустах.</i>	iбез трус кустахi
<i>Выйдет ёжик из норы</i>	iвыйти ёжик норыi
<i>и уколет в пах.</i>	iи уколоть пахi
Ты расстался с Бетти?	ты расстаться бетти
Вроде того. А она, прикинь, совсем не обломалась.	вроде тот а она прикинуть обломаться
А ты чего ждал?	а ждать
К таким девкам надо иметь подход.	к такой девка иметь подход
Поласковей, повежливей.	ласковый вежливый
А я что? Куда уж было ласковей.	а что куда ласковый
Я из кожи вон лез. Вот, что обидно-то.	я кожа вон лезть вот обидноть
Я ей сначала, короче, звонил. Она отвечала,	я сначала короче звонить она отвечать
только вечно ей некогда было.	вечно некогда быть
А потом даже трубку снимать перестала.	а трубка снимать перестать
Нет, ну ты прикинь? Что это вообще за фигня?	нет прикинуть что это вообще фигня
Сейчас спросим у компьютера.	сейчас спросить компьютер
- Я ж тебе серьёзно. - Мой компьютер не врёт.	я ты серьёзно мой компьютер врать
Так, поглядим.	так поглядеть
Ну что?	ну что
Ответ такой.	ответ такой
Ты — полный отстой.	ты — полный отстой
Чего? Я — отстой?	что я — отстой
Полный. Притом…	полный притом…
С вялым стручком.	с вялый стручок
Вот спасибо, доктор. Утешили. Чего ещё скажете?	вот спасибо доктор утешить что ещё сказать
Это не я сказал, а компьютер.	это сказать компьютер
- Кончай! Нет тут компьютера! - Ага! Значит, и никакой Бетти нету.	кончать нет компьютер ага значит никакой бетти нету
Значит, я — отстой.	значит — отстой
Пойми, компьютер не врёт.	понять компьютер врать
Что ж я за болван.	что болван
- И куда дальше? - Не знаю.	и далёкий не знать
Приплыли.	приплыть
Как тут жутко.	как жутко
Да.	да
Вроде я понял.	вроде понять
Едем прямо 2 мили, потом направо.	ехать прямо 2 миля направо
ПАМЕЛА ВУРХИЗ ПОКОЙСЯ С МИРОМ	памела вурхиз покоиться с мир
ДО КАНАДЫ С ЛЮБОВЬЮ	до канада с любовь
Пол, давай подбросим.	половина давать подбросить
И куда мы её посадим?	и её посадить
Зайка, у тебя сестры нет?	зайка сестра нет
Ква-ква!	кваква
Я так хотела пиццу, мам.	я хотеть пицца мама
Я тоже, но надо доесть то, что осталось в холодильнике.	я тоже доесть то остаться холодильник
Ты не рада? Неужели не хочешь моего салата из тунца.	ты рада неужели хотеть мой салат тунец
- Ну… - Вот и я не хочу.	ну… вот хотеть
Я бы съела…	я съела…
- Нет. - Да.	нет да
Я хочу…	я хочу…
- Нет! - Семейный сендвич!	нет семейный сендвич
- Погодите, кто-то за дверью. - Нет уж-ки.	погодить ктоть дверь нет ужка
- Мам, я тоже слышала. - Я открою.	мама слышать я откроить
Гордон! Пёсик. Ты где шлялся, Гордон?	гордон пёсик ты шляться гордон
Опять куда-нибудь лазал? С подружкой встречался, наверное?	опять куданибудь лазать с подружка встречаться наверное
Томми, закрой дверь.	томми закрыть дверь
Ладно, Гордон, ещё поговорим.	ладный гордон ещё поговорить
Приехали.	приехать
- Давай сюда пиво. - Хватай.	давать сюда пиво хватать
- Ты хоть понял в чём смысл? - В том, что ты болван.	ты понять что смысл в тот болван
Да нет, просто до меня дошло, что можно оттягиваться…	да нет просто дошлый оттягиваться…
и без девчонок.	девчонка
Это же грех, отстойник.	это грех отстойник
Слушай, прекрати меня так называть.	слушай прекратить называть
Привет. Какой ты лапушка.	привет какой лапушка
- Его зовут Гордон. А я Триш. - Привет, Триш.	он звать гордон а триша привет триша
Не пойму, зачем тебе это.	не понять ты это
А я не пойму, как ты без этого живёшь.	а понять жить
Я не в том смысле…	я смысле…
Ты же со всеми подряд.	ты весь подряд
Ничего подобного!	ничто подобный
Я только с Полом.	я полый
- Правда? - Ну да, Сара!	правда ну да сара
Ты же знаешь, парни вечно про это врут.	ты знаешь парень вечно это врать
Про всех девчонок такое говорят.	про девчонка такой говорят
Но не про меня.	но я
У меня нет такой…	у такой…
- Дурной славы? - Я этого не говорила.	дурной слава я говорить
Про меня эти слухи с шестого класса ходят.	про слух шесть класс ходить
А что Пол говорит?	а половина говорить
Что я хороша в постели. Там я его и держу.	что хороший постель там дерзить
Кстати, а кто где ночует?	кстати ночевать
Мы с Полом заняли спальню в конце коридора.	мы полый занять спальня конец коридор
Вы с Дагом — в соседней комнате.	вы даг — соседний комната
Вот как?	вот как
Да. Кровати двухярусные. Не переживай.	да кровать двухярусный не переживать
