cleaned_text	lemm_text
И деньги, тоже он принесет.	и деньга принести
Не стоит волноваться.	не стоить волноваться
Сколько людей вам понадобиться?	сколько человек понадобиться
Только Адаван.	только адаван
Это нужно сделать издалека.	это нужно сделать издалёка
Близко к нему никого не подпускают.	близко он никто подпускать
Когда я узнаю детали?	когда узнавать деталь
Мой человек все вам расскажет. Покажете ему обратный билет.	мой человек рассказать показать обратный билет
Помните - запись вашего разговора в моих руках.	помнить запись ваш разговор мой рука
А запись вашего - в моих.	а запись ваш мой
Как тебе это удалось?	как ты это удаться
Видео камера здесь, аудио запись здесь.	видео камера здесь аудио запись здесь
С кем ты играешь?	с кто играть
Извините, он еще сущий ребенок.	извинить сущий ребёнок
Этот ребенок через 6 месяцев сможет купить этот самолет.	этот ребёнок 6 месяц смочь купить самолёт
Вот ваша запись. - А вот ваша.	вот ваш запись а ваш
Готов? - Готовлюсь. Жертва подъехала?	готовый готовиться жертва подъехать
Комиссар приехал, значит и жертва рядом.	комиссар приехать значит жертва ряд
Наши люди внимательно наблюдают за окрестностями.	наш человек внимательно наблюдать окрестность
Отправь кого-нибудь и на стоянку.	отправить когонибудь стоянка
Приехал. Ты готов? - Да готов, готов.	приехать ты готовый да готовый готовый
Слишком много народу. В кого стрелять то?	слишком народ в кто стрелять то
Видишь того, в фуражке, три звезды на погонах?	видеть тот фуражка звезда погоны
Видишь его? - Вижу.	видеть он видеть
Следи за ним. Он даст ребенку цветок. Тот, кому она его отдаст, и есть судья.	следить он он дать ребёнок цветок тот кома отдать судья
Судья? Что, неправильно рассудил?	судья что неправильно рассудить
Все тебе шуточки. Работай!	весь ты шуточка работать
Промахнулся! Надо сматываться.	промахнуться надо сматываться
Понял что тебе надо делать? Действуй!	понять ты делать действовать
Тысячи родителей все еще оплакивают своих пропавших детей,	тысяча родитель оплакивать свой пропасть ребёнок
Проклиная случившуюся с ними беду, и виновных в ней.	проклинать случиться они беда виновный она
Другие молятся,	другой молиться
Надеясь что останки их детей не будут найдены таким образом.	надеяться останки ребёнок быть найти такой образ
Меня уполномочили расследовать	я уполномочить расследовать
эту страшную трагедию, и назвать виновных	страшный трагедия назвать виновный
И что я слышу?	и слышать
Кто-то спросил меня	ктоть спросить
Закрою ли я дело, если мне заплатят миллион рупий.	закрой дело заплатить миллион рупия
Кто это был?	кто это быть
Я показал эту запись всем вам,	я показать запись весь вы
Чтобы СМИ были в курсе событий.	чтобы сми курс событие
Вы ведете дело уже 4 месяца. Когда же мы узнаем результаты?	вы вести дело 4 месяц когда узнать результат
Расследование завершено на 90%. Те, кто виновны в исчезновении детей	расследование завершить 90 тот виновный исчезновение ребёнок
В Калькутте и Дарджелинге, в убийстве их, и продаже органов за границу	в калькутта дарджелинг убийство они продажа орган граница
Понесут жестокое наказание.	понести жестокий наказание
Мне осталось завершить 10% расследования.	я остаться завершить 10 расследование
Я сделаю это в течение недели. Через 10 дней я представлю полный отчет.	я сделать это течение неделя через 10 день представить полный отчёт
Комиссар, вам вопрос.	комиссар вопрос
Вы найдете виновных?	вы найти виновный
Позор мне и всей полиции если я этого не сделаю.	позор весь полиция сделать
А что вы сделаете, если вам будут угрожать?	а сделать быть угрожать
Что за глупый вопрос!	что глупый вопрос
Я много раз говорил, что меня нельзя запугать!	я говорить запугать
Я уеду домой только тогда, когда закончу это дело.	я уехать домой тогда закончить это дело
