cleaned_text	lemm_text
СУБТИТРЫ: И.КИРИК, М.ЛЕВИН, А.СОЛОНИЦКИЙ	субтитр икирика млевин асолоницкий
БУДИЛЬНИК	будильник
-Феруза, я все успела. Давай, да. Ключи у меня. Ко мне подъезжай.	феруз успеть давать да ключ я к подъезжать
-Спасибо. Я твоя должница. -Это кто?	спасибо я твой должница это кто
-Мавлюда. Волнуется, чтобы плов не остыл.	мавлюда волноваться плов остылый
-Остынет. Вон впереди пробка часа на два.	остыть вон впереди пробка час два
Может, ей денег дать? Все-таки старался человек.	мочь деньга дать всетаки стараться человек
-Обидишь! Она не чужая мне. -Нам, Руся. Нам. Я все решил.	обидеть она чужой я мы раться мы я решить
-Миша! Миш!	миша миша
Ты где? Суп стынет!	ты где суп стынуть
Миш?..	миша
Миш, ты где?	миша где
Ты чемодан еще не разбирал?	ты чемодан разбирать
Миша...	миша
Миша... что случилось?	миша случиться
Пропало что?	пропасть что
-А почему ты так решила? -Ну просто ты смотришь на коробку,	а почему решить ну просто смотреть коробка
а там ничего. -Садись.	ничто садиться
Ты уверена, что твоя сестра... -Это исключено!	ты уверить твой сестра это исключить
Да как ты мог подумать?! Мавлюда не такой человек.	да мочь подумать мавлюда человек
-А что я мог еще подумать? Кроме нее дома никого не было.	а мочь подумать кроме дом никто быть
Дверь меняли.	дверь менять
За неделю до нашего отъезда меняли дверь. Фирма еще эта -	за неделя наш отъезд менять дверь фирма этот
"как ее... ""Крепость""."	она крепость
А фирму... ты выбрала, Феруза. Ты.	а фирма выбрать феруз ты
-Я. Так объявление лежало в почтовом ящике. И на остановке тоже	я так объявление лежалый почтовый ящик и остановка
"эта ""Крепость"", и на заборе. Да ты и сам одобрил."	этот крепость забор да одобрить
Миша, ты что, меня подозреваешь?	миша что подозревать
-Ну не знаю я. Не знаю!	ну знать я не знать
-Сколько пропало? -Я деньги дома не держу.	сколько пропасть я деньга дом дерзить
Пистолет пропал! -Какой пистолет?	пистолет пропасть какой пистолет
-Макаров. -Дорогой?	макаров дорогой
-Если мой пистолет всплывет в уголовном деле - мне конец.	если пистолет всплыть уголовный дело конец
Да мне в любом случае конец. Хранение ненадлежащим образом	да любой случай конец хранение ненадлежащий образ
табельного оружия. -Но ты же не виноват.	табельный оружие но виноватый
-Если ваше оружие, хотя бы без вашего участия, причинило вред	если ваш оружие хотя ваш участие причинить вред
третьим лицам, то ответственность может быть уголовной.	три лицо ответственность уголовный
Я звоню в полицию. -Так, Миша...	я звонить полиция так миша
Не надо никуда звонить.	не никуда звонить
Мы его найдем. У меня есть один человек.	мы найти у человек
Это я.	это я
-Я не понял... Это Самир? -Теперь ты понимаешь, почему Мавлюда	я понять это самир теперь понимать почему мавлюда
не должна знать об этом?	должный знать это
-Ну ты чего смотришь в этот интернет? Я тебя сама всему научу.	ну смотреть интернет я сам весь научить
Вот смотри... вот так вот... бочком...	вот смотреть вот бочком
ложишь...	класть
"заворачиваешь... -Не ""ложишь"", а ""кладешь""."	заворачивать не класть класть
-Ну вот ты чего сейчас не смотрела, как я ложила?	ну смотреть ложить
-Ладно, пойду угощение отнесу. -Папа занят.	ладный пойти угощение отнести папа занятый
"-А кушать? -Не ""кушать"", а ""есть""."	а кушать не кушать есть
-Понятно, что Мавлюде пистолет не нужен.	понятно мавлюда пистолет нужный
Понятно ведь, что это не она. -Ну а я о чем?	понятно ведь это она ну чем
-Не помешала? Вот. Угощайтесь.	не помешать вот угощаться
Ну может, все-таки вареники, а?	ну мочь всетаки вареник а
Крученики скоро будут готовы.	крученик скоро быть готовый
"-Это фирму ""Крепость"" я вызвала. Если Миша узнает, что мы"	это фирма крепость вызвать если миша узнать
