cleaned_text	lemm_text
О, БОГИНЯ!	о богиня
О, БОГИНЯ!	о богиня
 О любовь, ты совсем не то	о любовь
Что возникнет из пустоты.	что возникнуть пустота
Из мозаики выйдешь - ты	из мозаика выйти
Но сложить ее - очень нелегко!	но сложить очень нелегко
По весне - улетим к морям,	по весна улететь море
Я оденусь, как в летний зной	я одеться летний зной
Мы укроемся любя	мы укрыться любя
И я вечно буду с тобой!	и вечно быть ты
My heart - не дает сказать:	my heart давать сказать
"""Please Kiss - о, где твои глаза?"""	please kiss о твой глаз
"""Day Dream"" - мечты мои растут, да,"	day dream мечта мой расти да
И плывут, уносясь, к небесам...	и плыть уноситься небо
Любая может, да, отыскать мечту	любой мочь да отыскать мечта
И стоит счастье ей найти,	и стоить счастие найти
Ты заметишь - её вокруг	ты заметить её вокруг
Сияет свет любви!	сиять свет любовь
Бывает, слезы так текут из глаз...	бывать слеза течь глаз
И часто сердце давит грусть...	и часто сердце давить грусть
Думая о тебе сейчас,	думать ты сейчас
Я снова улыбнусь!	я снова улыбнуться
Сон в летнюю ночь	сон летний ночь
Кейичи.	кейй
А, сейчас.	а сейчас
Спасибо.	спасибо
Скоро будет готово.	скоро готовый
Все нормально, тебе незачем спешить.	весь нормальный ты незачем спешить
Хорошо.	хорошо
Прошло 5 месяцев со дня появления Беллданди.	прошлый 5 месяц день появление беллданди
Доброе утро!	добрый утро
Добро пожаловать.	добро пожаловать
Я сегодня обедаю у вас.	я сегодня обедать вы
Что значит обедаю с нами? Ты появляешься здесь каждый день.	что значит обедать мы ты появляться каждый день
Ну и что здесь такого?	ну такой
Я ведь вношу свою долю.	я вносить доля
К тому же, я обожаю, как готовит Беллданди.	к тот же обожать готовить беллданди
Я так счастлива слышать это от тебя...	я счастливый слышать это ты
...пожалуйста, подожди немного, скоро будет готово.	пожалуйста подождать немного скоро готовый
Хорошо!	хорошо
- Уф, как жарко... - Да	уф жарко да
Вот, это пришло тебе, Кейичи.	вот это пришлый ты кейй
Интересно, от кого это. Без обратного адреса...	интересно кто это без обратный адрес
Кей,	кей
А?	а
Ты никуда не собираешься этим летом?	ты никуда собираться это летом
Нет... у меня нет на это денег.	нет это деньга
Какие печальные летние каникулы!	какой печальный летний каникулы
Перестань.	перестать
Ты должен хотя бы съездить к морю, на пляж...	ты должный хотя съездить море пляж
К морю?	к море
А, ты же не умеешь плавать?	а уметь плавать
Умею! Я могу проплыть 10 метров.	уметь я мочь проплыть 10 метр
В глубину, да?	в глубина да
Простите, что заставила вас ждать.	простить заставить ждать
Большое спасибо. Было очень вкусно!	большой спасибо быть очень вкусно
Мегуми, ты была где-нибудь этим летом?	мегуметь гденибыть это летом
Да, я была на море дважды.	да мор дважды
О, на море! Звучит здорово.	о мор звучать здорово
Спасибо.	спасибо
Я никогда не была на море.	я мор
Это странно...	это странно
Послушай, а почему бы Кейичи не взять тебя на море?	послушать почему кейй взять мор
На море? Это было бы здорово.	на мор это здорово
Море...Я думаю, ей там понравится.	морей думать понравиться
Беллданди...	беллданди
Кейичи...	кейй
Беллданди...	беллданди
Кейичи...	кейй
Действуй, Кейичи.	действовать кейй
Если получится - незабываемые впечатления...	если получиться незабываемый впечатление
или хотя бы первый поцелуй...	хотя один поцелуй
Отлично! Я это сделаю!	отлично я это сделать
Что ты сделаешь?	что сделать
А! Ничего важного.	а ничто важный
Кейичи...	кейй
Да?	да
Я пойду за покупками.	я пойти покупка
Пока.	пока
Счастливо.	счастливо
